ProblemName,Seed,T_combined,T_combined-disable-all,N_combined,N_combined-disable-all,DI_combined,DI_combined-disable-all,Gap_combined,Gap_combined-disable-all,GapQ_combined,GapQ_combined-disable-all,TQ_combined,TQ_combined-disable-all,NQ_combined,NQ_combined-disable-all,DIQ_combined,DIQ_combined-disable-all
30n20b8,1,623.6,898.73,1999,2462,24175.587104304643,33185.816548013245,0.0,0.0,0.0,0.0,0.69386801375274,1.0,0.8119415109666938,1.0,0.728491555099372,1.0
30n20b8,2,693.56,705.31,3499,2447,33380.86676655629,37010.42437417219,0.0,0.0,0.0,0.0,0.9833406587174434,1.0,1.429914180629342,1.0,0.901931478252684,1.0
CMS750_4,0,185.73,172.87,2028,2061,236.69047619047618,221.52380952380952,0.0,0.0,0.0,0.0,1.0743911609880257,1.0,0.9839883551673945,1.0,1.0684651762682718,1.0
CMS750_4,1,370.72,533.53,3254,9672,353.7340238095247,438.69226587301534,0.0,0.0,0.0,0.0,0.6948437763574683,1.0,0.33643507030603803,1.0,0.8063374974381635,1.0
CMS750_4,2,473.12,372.03,13518,9265,409.4761904761905,327.6844265873007,0.0,0.0,0.0,0.0,1.2717253984893693,1.0,1.4590393955747436,1.0,1.2496052825601678,1.0
beasleyC3,2,47.2,45.26,453,397,60.5070464190982,59.820186339522564,0.0,0.0,0.0,0.0,1.042863455589925,1.0,1.141057934508816,1.0,1.0114820785692176,1.0
binkar10_1,0,31.34,34.39,2560,3170,16.530218892167426,16.850324273911163,0.0,0.0,0.0,0.0,0.9113114277406222,1.0,0.807570977917981,1.0,0.9810030135598431,1.0
binkar10_1,1,29.22,30.44,2246,2325,11.699173704422169,17.11360421935518,0.0,0.0,0.0,0.0,0.9599211563731931,1.0,0.9660215053763441,1.0,0.6836183397995503,1.0
binkar10_1,2,28.71,30.47,2509,2252,16.276617190935752,16.821896856256423,0.0,0.0,0.0,0.0,0.9422382671480145,1.0,1.1141207815275311,1.0,0.9675851261020026,1.0
brazil3,0,3360.46,3607.92,2570,2646,19964.97339208332,21202.330283749987,0.0,0.0,0.0,0.0,0.9314120047007695,1.0,0.9712773998488284,1.0,0.9416405237015382,1.0
brazil3,2,3785.08,3540.88,3302,3366,4574.0625,4447.968749999999,0.0,0.0,0.0,0.0,1.0689659067802353,1.0,0.9809863339275104,1.0,1.028348614184846,1.0
cost266-UUE,0,4923.15,4662.92,375684,339765,18442.076416295735,17209.74991455145,0.0,0.0,0.0,0.0,1.0558083775831453,1.0,1.1057171868791664,1.0,1.0716062992119548,1.0
cost266-UUE,1,3728.83,4775.3,294630,402428,13227.091766782543,17045.763738796613,0.0,0.0,0.0,0.0,0.7808577471572467,1.0,0.7321309650421939,1.0,0.7759753079691777,1.0
cost266-UUE,2,4067.72,7200.0,306702,23793,15450.64854860508,45323.793224234294,0.0,6.5,0.0,1.0,0.5649611111111111,1.0,12.890429958391124,1.0,0.3408948688862991,1.0
csched007,0,2327.77,2593.31,187288,194436,16205.184854415957,17933.30104871795,0.0,0.0,0.0,0.0,0.8976057625197142,1.0,0.9632372605896028,1.0,0.9036364699612548,1.0
csched007,1,2613.95,6565.31,220934,325202,16818.595935897436,37140.31304985752,0.0,0.0,0.0,0.0,0.3981457082757706,1.0,0.6793746655924625,1.0,0.4528393692675662,1.0
csched007,2,3393.08,3184.68,247755,267948,21171.48683076923,20223.599575783483,0.0,0.0,0.0,0.0,1.0654382857932352,1.0,0.9246383626673832,1.0,1.0468703531947292,1.0
csched008,2,5772.95,4495.94,546382,406564,3644.5367774566475,3402.3924566474043,0.0,0.0,0.0,0.0,1.2840362638291436,1.0,1.3439015751517596,1.0,1.0711688389551168,1.0
dano3_3,0,143.7,146.76,10,12,1862.9259719075267,1865.4614904556868,0.0,0.0,0.0,0.0,0.9791496320523303,1.0,0.8333333333333334,1.0,0.9986408089573906,1.0
dano3_3,1,142.65,143.82,14,16,1263.5882429307567,1261.1101628834397,0.0,0.0,0.0,0.0,0.9918648310387986,1.0,0.875,1.0,1.0019649988718282,1.0
dano3_5,1,285.81,283.82,159,166,1780.2608740715739,1780.164440248355,0.0,0.0,0.0,0.0,1.0070114861531958,1.0,0.9578313253012049,1.0,1.0000541713007172,1.0
drayage-25-23,2,6941.84,4836.97,552534,548267,1277.0347172139345,1143.3414644560462,0.0,0.0,0.0,0.0,1.4351629222426436,1.0,1.0077827044122663,1.0,1.1169320425385727,1.0
