ProblemName,Seed,T_combined,T_combined-disable-all,N_combined,N_combined-disable-all,DI_combined,DI_combined-disable-all,Gap_combined,Gap_combined-disable-all,GapQ_combined,GapQ_combined-disable-all,TQ_combined,TQ_combined-disable-all,NQ_combined,NQ_combined-disable-all,DIQ_combined,DIQ_combined-disable-all
30n20b8,0,149.68,149.46,171,171,8157.48127384106,8141.892059271523,0.0,0.0,0.0,0.0,1.0014719657433426,1.0,1.0,1.0,1.001914691874573,1.0
30n20b8,1,623.6,898.73,1999,2462,24175.587104304643,33185.816548013245,0.0,0.0,0.0,0.0,0.69386801375274,1.0,0.8119415109666938,1.0,0.728491555099372,1.0
30n20b8,2,693.56,705.31,3499,2447,33380.86676655629,37010.42437417219,0.0,0.0,0.0,0.0,0.9833406587174434,1.0,1.429914180629342,1.0,0.901931478252684,1.0
50v-10,0,7200.0,7200.0,829421,844871,11838.127931802672,10713.250263453157,1.69,1.28,1.3203125,1.0,1.0,1.0,0.9817131846163497,1.0,1.1049987296746802,1.0
50v-10,1,7200.0,7200.0,867997,986762,10623.056822917131,10975.670793039759,1.15,1.26,0.9126984126984127,1.0,1.0,1.0,0.8796416967820001,1.0,0.9678731280509764,1.0
50v-10,2,7200.0,7200.0,833134,1083051,10830.810815538305,11897.812189665123,1.37,1.42,0.9647887323943664,1.0,1.0,1.0,0.7692472468978838,1.0,0.9103195312619193,1.0
CMS750_4,0,185.73,172.87,2028,2061,236.69047619047618,221.52380952380952,0.0,0.0,0.0,0.0,1.0743911609880257,1.0,0.9839883551673945,1.0,1.0684651762682718,1.0
CMS750_4,1,370.72,533.53,3254,9672,353.7340238095247,438.69226587301534,0.0,0.0,0.0,0.0,0.6948437763574683,1.0,0.33643507030603803,1.0,0.8063374974381635,1.0
CMS750_4,2,473.12,372.03,13518,9265,409.4761904761905,327.6844265873007,0.0,0.0,0.0,0.0,1.2717253984893693,1.0,1.4590393955747436,1.0,1.2496052825601678,1.0
air05,0,40.07,40.26,648,648,100.02059907484637,100.28789489648894,0.0,0.0,0.0,0.0,0.9952806756085445,1.0,1.0,1.0,0.9973347150030575,1.0
air05,1,36.54,37.06,716,716,94.20627056950015,94.76608857207843,0.0,0.0,0.0,0.0,0.985968699406368,1.0,1.0,1.0,0.9940926336518312,1.0
air05,2,30.22,32.14,282,282,87.80452756502615,90.37746151512853,0.0,0.0,0.0,0.0,0.940261356565028,1.0,1.0,1.0,0.9715312434431267,1.0
app1-1,0,3.53,3.5,2,2,210.18724100076997,209.30358673909657,0.0,0.0,0.0,0.0,1.0085714285714285,1.0,1.0,1.0,1.0042218782556025,1.0
app1-1,1,4.94,4.85,3,3,323.57328085036335,316.09958820374305,0.0,0.0,0.0,0.0,1.018556701030928,1.0,1.0,1.0,1.0236434747956809,1.0
app1-1,2,4.17,4.18,6,6,221.01774098094754,222.3311060362726,0.0,0.0,0.0,0.0,0.9976076555023924,1.0,1.0,1.0,0.9940927516678175,1.0
app1-2,0,642.8,641.12,33,33,36383.844121706585,36289.59798558686,0.0,0.0,0.0,0.0,1.0026204142750186,1.0,1.0,1.0,1.0025970564941822,1.0
app1-2,1,789.47,789.41,20,20,44698.36789757741,44757.317833427805,0.0,0.0,0.0,0.0,1.0000760061311613,1.0,1.0,1.0,0.9986828983794385,1.0
app1-2,2,618.36,617.11,20,20,37335.62179865141,37254.99191603624,0.0,0.0,0.0,0.0,1.0020255708058532,1.0,1.0,1.0,1.00216427057069,1.0
assign1-5-8,0,7200.0,7200.0,5736357,7050107,35826.85425376717,35132.135639144515,4.74,4.62,1.025974025974026,1.0,1.0,1.0,0.8136553104796849,1.0,1.0197744487200655,1.0
assign1-5-8,1,7200.0,7200.0,6813236,6025240,34469.75157546527,34363.722597635075,4.54,4.54,1.0,1.0,1.0,1.0,1.130782508248634,1.0,1.0030854916119447,1.0
assign1-5-8,2,7200.0,7200.0,6333262,6249586,36127.38158961623,37888.39565376718,4.8,5.03,0.9542743538767395,1.0,1.0,1.0,1.013389046890466,1.0,0.953521017879894,1.0
atlanta-ip,0,7200.0,7200.0,18533,17998,43337.69348871529,44369.36025494699,3.6,7.06,0.509915014164306,1.0,1.0,1.0,1.02972552505834,1.0,0.9767482163298338,1.0
atlanta-ip,1,7200.0,7200.0,21153,15170,33224.348694249595,33240.84057572816,3.81,2.85,1.3368421052631578,1.0,1.0,1.0,1.3943968358602505,1.0,0.9995038668940699,1.0
atlanta-ip,2,7200.0,7200.0,30903,23163,36484.18328740221,37170.637976058904,4.27,4.17,1.0239808153477217,1.0,1.0,1.0,1.3341536070457194,1.0,0.9815323404161416,1.0
b1c1s1,0,7200.0,7200.0,35962,44870,101772.57959298001,100511.94038379664,17.13,16.31,1.0502759043531575,1.0,1.0,1.0,0.8014709159794963,1.0,1.0125421835890316,1.0
b1c1s1,1,7200.0,7200.0,21112,17779,99105.70956843253,99609.27077156563,18.36,17.83,1.0297251822770612,1.0,1.0,1.0,1.1874683615501433,1.0,0.9949446351807161,1.0
b1c1s1,2,7200.0,7200.0,18673,18961,104172.80512217728,104553.80126465464,17.69,17.64,1.0028344671201814,1.0,1.0,1.0,0.984810927693687,1.0,0.9963559800038934,1.0
bab2,0,7200.0,7200.0,3473,3591,54272.20839437869,55422.560916273236,1.29,1.36,0.9485294117647058,1.0,1.0,1.0,0.9671400724032303,1.0,0.9792439666649042,1.0
bab2,1,7200.0,7200.0,3262,3416,49060.940255721325,48795.05950974768,2.44,2.57,0.9494163424124514,1.0,1.0,1.0,0.9549180327868853,1.0,1.0054489275890837,1.0
bab2,2,7200.0,7200.0,1981,1981,51336.0834263738,51442.96212076123,1e+20,1e+20,1.0,1.0,1.0,1.0,1.0,1.0,0.9979223845210053,1.0
bab6,0,7200.0,7200.0,4790,5231,15216.593062791633,15165.029201764512,0.58,0.58,1.0,1.0,1.0,1.0,0.91569489581342,1.0,1.003400182112483,1.0
bab6,1,7200.0,7200.0,3258,3208,22203.67304528304,22293.978456800247,1.14,1.14,1.0,1.0,1.0,1.0,1.0155860349127181,1.0,0.9959493361989116,1.0
bab6,2,7200.0,7200.0,4779,4690,20738.843556386426,20811.210104186448,1.94,1.95,0.9948717948717949,1.0,1.0,1.0,1.0189765458422175,1.0,0.9965227131225077,1.0
beasleyC3,0,31.56,31.44,83,83,57.36058461538471,56.212937931034574,0.0,0.0,0.0,0.0,1.0038167938931297,1.0,1.0,1.0,1.0204160594800815,1.0
beasleyC3,1,17.35,17.32,2,2,52.69888328912467,52.71847015915121,0.0,0.0,0.0,0.0,1.0017321016166283,1.0,1.0,1.0,0.9996284628524423,1.0
beasleyC3,2,47.2,45.26,453,397,60.5070464190982,59.820186339522564,0.0,0.0,0.0,0.0,1.042863455589925,1.0,1.141057934508816,1.0,1.0114820785692176,1.0
binkar10_1,0,31.34,34.39,2560,3170,16.530218892167426,16.850324273911163,0.0,0.0,0.0,0.0,0.9113114277406222,1.0,0.807570977917981,1.0,0.9810030135598431,1.0
binkar10_1,1,29.22,30.44,2246,2325,11.699173704422169,17.11360421935518,0.0,0.0,0.0,0.0,0.9599211563731931,1.0,0.9660215053763441,1.0,0.6836183397995503,1.0
binkar10_1,2,28.71,30.47,2509,2252,16.276617190935752,16.821896856256423,0.0,0.0,0.0,0.0,0.9422382671480145,1.0,1.1141207815275311,1.0,0.9675851261020026,1.0
blp-ar98,0,7200.0,7200.0,238231,235291,5967.561744100082,5726.839010653517,0.27,0.26,1.0384615384615385,1.0,1.0,1.0,1.0124951655609438,1.0,1.042034136632574,1.0
blp-ar98,1,7200.0,7200.0,207500,232370,6377.591394602854,6321.516490357039,0.33,0.29,1.1379310344827587,1.0,1.0,1.0,0.892972414683479,1.0,1.0088704829499935,1.0
blp-ar98,2,7200.0,7200.0,229423,208176,6415.845105888979,6200.004794921864,0.32,0.25,1.28,1.0,1.0,1.0,1.1020626777342248,1.0,1.0348129264583632,1.0
blp-ic98,0,7200.0,7200.0,304769,299469,7237.063331242014,7221.565459186527,1.38,2.2,0.6272727272727272,1.0,1.0,1.0,1.017697992112706,1.0,1.0021460543621843,1.0
blp-ic98,1,7200.0,7200.0,254061,253750,7539.775927701681,6987.678604051019,2.41,2.04,1.1813725490196079,1.0,1.0,1.0,1.0012256157635469,1.0,1.0790101198029616,1.0
blp-ic98,2,7200.0,7200.0,278188,278226,7134.770132576666,7184.170888313599,2.11,1.74,1.2126436781609196,1.0,1.0,1.0,0.999863420384867,1.0,0.9931236663903287,1.0
bnatt400,0,970.91,972.31,6821,6821,97091.0,97231.0,0.0,0.0,0.0,0.0,0.9985601299996915,1.0,1.0,1.0,0.9985601299996915,1.0
bnatt400,1,1105.02,1104.29,6346,6346,110502.0,110429.0,0.0,0.0,0.0,0.0,1.000661058236514,1.0,1.0,1.0,1.0006610582365139,1.0
bnatt400,2,745.15,744.24,5500,5500,74515.0,74424.0,0.0,0.0,0.0,0.0,1.0012227238525206,1.0,1.0,1.0,1.0012227238525206,1.0
bnatt500,0,4368.17,4359.44,29526,29526,436817.0,435943.99999999994,0.0,0.0,0.0,0.0,1.0020025507863397,1.0,1.0,1.0,1.0020025507863397,1.0
bnatt500,1,6333.06,6338.47,38962,38962,633306.0,633847.0,0.0,0.0,0.0,0.0,0.9991464817219298,1.0,1.0,1.0,0.9991464817219298,1.0
bnatt500,2,4996.9,4959.43,29029,29029,499689.99999999994,495943.0,0.0,0.0,0.0,0.0,1.0075553037345015,1.0,1.0,1.0,1.0075553037345015,1.0
bppc4-08,0,7200.0,7200.0,797503,781050,13614.33962264151,13604.528301886792,1.92,1.92,1.0,1.0,1.0,1.0,1.021065232699571,1.0,1.000721180517031,1.0
bppc4-08,1,7200.0,7200.0,938927,803591,13609.433962264151,13614.35849056604,1.92,1.92,1.0,1.0,1.0,1.0,1.1684140315160325,1.0,0.9996382842199064,1.0
bppc4-08,2,7200.0,7200.0,793397,774238,13609.452830188678,13609.433962264151,1.92,1.92,1.0,1.0,1.0,1.0,1.0247456208556025,1.0,1.0000013863856925,1.0
brazil3,0,3360.46,3607.92,2570,2646,19964.97339208332,21202.330283749987,0.0,0.0,0.0,0.0,0.9314120047007695,1.0,0.9712773998488284,1.0,0.9416405237015382,1.0
brazil3,1,4252.19,4257.52,2347,2347,100252.26529645834,100372.33603604168,0.0,0.0,0.0,0.0,0.9987480974839811,1.0,1.0,1.0,0.9988037466863356,1.0
brazil3,2,3785.08,3540.88,3302,3366,4574.0625,4447.968749999999,0.0,0.0,0.0,0.0,1.0689659067802353,1.0,0.9809863339275104,1.0,1.028348614184846,1.0
buildingenergy,0,7200.0,7200.0,96,96,18993.32567985296,19043.86497388976,0.13,0.13,1.0,1.0,1.0,1.0,1.0,1.0,0.9973461640215318,1.0
buildingenergy,1,7200.0,7200.0,85,85,18244.78742705254,18344.269552455335,0.15,0.15,1.0,1.0,1.0,1.0,1.0,1.0,0.9945769372218214,1.0
buildingenergy,2,7200.0,7200.0,12,12,19044.35943501013,19143.443587889193,0.13,0.13,1.0,1.0,1.0,1.0,1.0,1.0,0.9948241207270699,1.0
cbs-cta,0,40.27,40.09,1,1,15.0,15.0,0.0,0.0,0.0,0.0,1.0044898977301073,1.0,1.0,1.0,1.0,1.0
cbs-cta,1,314.1,314.32,31,31,15.0,15.0,0.0,0.0,0.0,0.0,0.9993000763553068,1.0,1.0,1.0,1.0,1.0
cbs-cta,2,35.77,35.81,1,1,15.0,15.0,0.0,0.0,0.0,0.0,0.9988829935772131,1.0,1.0,1.0,1.0,1.0
chromaticindex1024-7,0,7200.0,7200.0,964,964,187931.0,188018.0,33.33,33.33,1.0,1.0,1.0,1.0,1.0,1.0,0.9995372783456903,1.0
chromaticindex1024-7,1,7200.0,7200.0,1171,1141,190411.75,190207.5,33.33,33.33,1.0,1.0,1.0,1.0,1.0262927256792287,1.0,1.0010738272675894,1.0
chromaticindex1024-7,2,6429.72,6436.99,757,757,170155.5,170299.75,0.0,0.0,0.0,0.0,0.998870590136073,1.0,1.0,1.0,0.9991529641118088,1.0
chromaticindex512-7,0,1172.37,1184.69,361,361,31401.75,31762.25,0.0,0.0,0.0,0.0,0.9896006550236769,1.0,1.0,1.0,0.9886500484065203,1.0
chromaticindex512-7,1,3689.97,3700.54,3133,3133,94038.0,94317.25,0.0,0.0,0.0,0.0,0.9971436601144698,1.0,1.0,1.0,0.9970392478576294,1.0
chromaticindex512-7,2,7200.0,7200.0,40579,40643,183742.5,183742.75,33.33,33.33,1.0,1.0,1.0,1.0,0.9984253130920454,1.0,0.9999986394020989,1.0
cmflsp50-24-8-8,0,7200.0,7200.0,36090,35416,11790.122833283533,11803.12885398895,3.98,4.18,0.952153110047847,1.0,1.0,1.0,1.0190309464648746,1.0,0.9988980870355387,1.0
cmflsp50-24-8-8,1,7200.0,7200.0,85475,61902,8745.651180930463,7904.028878449097,1.99,1.07,1.8598130841121494,1.0,1.0,1.0,1.3808116054408581,1.0,1.106480165422486,1.0
cmflsp50-24-8-8,2,7200.0,7200.0,37790,45491,10278.781070052586,10402.460401626195,4.86,3.17,1.5331230283911674,1.0,1.0,1.0,0.8307137675584182,1.0,0.988110569346241,1.0
co-100,0,7200.0,7200.0,54008,50083,110465.0181735428,107898.14576460821,1.74,1.8,0.9666666666666667,1.0,1.0,1.0,1.078369905956113,1.0,1.0237897731304346,1.0
co-100,1,7200.0,7200.0,7012,12939,349020.13818441913,323952.44446387584,91.77,48.72,1.8836206896551724,1.0,1.0,1.0,0.5419275059896437,1.0,1.0773807827319501,1.0
co-100,2,7200.0,7200.0,10565,18779,245946.05853016334,281405.2908854371,3.18,2.31,1.3766233766233766,1.0,1.0,1.0,0.5625965173864423,1.0,0.8739923039694745,1.0
cod105,0,7200.0,7200.0,7261,7027,247748.43619184915,247751.315099022,47.57,47.88,0.9935254803675856,1.0,1.0,1.0,1.0333001280774157,1.0,0.999988379851095,1.0
cod105,1,7200.0,7200.0,6829,6582,247748.77994169533,247754.2799392344,48.0,48.07,0.998543790305804,1.0,1.0,1.0,1.0375265876633242,1.0,0.9999778005952494,1.0
cod105,2,7200.0,7200.0,6601,6474,247735.7604052158,247737.4791544468,48.07,48.25,0.9962694300518135,1.0,1.0,1.0,1.0196169292554835,1.0,0.9999930622155483,1.0
comp07-2idx,0,7200.0,7200.0,3996,3152,6232.0148211666665,6210.516083499999,966.67,533.33,1.8125175782348637,1.0,1.0,1.0,1.267766497461929,1.0,1.0034616668530632,1.0
