ProblemName,Seed,T_combined,T_combined-no-filtering,N_combined,N_combined-no-filtering,DI_combined,DI_combined-no-filtering,Gap_combined,Gap_combined-no-filtering,GapQ_combined,GapQ_combined-no-filtering,TQ_combined,TQ_combined-no-filtering,NQ_combined,NQ_combined-no-filtering,DIQ_combined,DIQ_combined-no-filtering
30n20b8,0,149.68,149.54,171,171,8157.48127384106,8145.872569867552,0.0,0.0,0.0,0.0,1.0009362043600376,1.0,1.0,1.0,1.0014251025748242,1.0
30n20b8,1,623.6,582.65,1999,1959,24175.587104304643,22788.225331125832,0.0,0.0,0.0,0.0,1.0702823307302842,1.0,1.0204185809086268,1.0,1.060880641340853,1.0
30n20b8,2,693.56,659.88,3499,3242,33380.86676655629,33806.10571291391,0.0,0.0,0.0,0.0,1.0510395829544765,1.0,1.079272054287477,1.0,0.9874212383417125,1.0
50v-10,0,7200.0,7200.0,829421,825087,11838.127931802672,11950.135005347725,1.69,1.55,1.0903225806451613,1.0,1.0,1.0,1.005252779403869,1.0,0.9906271290244897,1.0
50v-10,1,7200.0,7200.0,867997,912826,10623.056822917131,11440.56484966239,1.15,1.31,0.8778625954198472,1.0,1.0,1.0,0.9508898738642414,1.0,0.9285430363371102,1.0
50v-10,2,7200.0,7200.0,833134,826673,10830.810815538305,10346.542534834794,1.37,1.16,1.1810344827586208,1.0,1.0,1.0,1.007815665928366,1.0,1.046804841237841,1.0
CMS750_4,0,185.73,185.66,2028,2028,236.69047619047618,231.6746031746032,0.0,0.0,0.0,0.0,1.000377033286653,1.0,1.0,1.0,1.0216505087184404,1.0
CMS750_4,1,370.72,371.41,3254,3254,353.7340238095247,354.0010119047628,0.0,0.0,0.0,0.0,0.9981422148030479,1.0,1.0,1.0,0.9992457984970112,1.0
CMS750_4,2,473.12,474.76,13518,13518,409.4761904761905,405.5813492063493,0.0,0.0,0.0,0.0,0.9965456230516472,1.0,1.0,1.0,1.0096031074344585,1.0
air05,0,40.07,40.5,648,597,100.02059907484637,105.26611814665957,0.0,0.0,0.0,0.0,0.9893827160493828,1.0,1.085427135678392,1.0,0.950168970185592,1.0
air05,1,36.54,40.16,716,674,94.20627056950015,97.91087207097887,0.0,0.0,0.0,0.0,0.9098605577689244,1.0,1.0623145400593472,1.0,0.9621635327811897,1.0
air05,2,30.22,38.17,282,417,87.80452756502615,97.16923181921592,0.0,0.0,0.0,0.0,0.7917212470526591,1.0,0.6762589928057554,1.0,0.9036247989321057,1.0
app1-1,0,3.53,3.52,2,2,210.18724100076997,209.3051102066689,0.0,0.0,0.0,0.0,1.002840909090909,1.0,1.0,1.0,1.004214568833174,1.0
app1-1,1,4.94,4.9,3,3,323.57328085036335,321.88779576683373,0.0,0.0,0.0,0.0,1.0081632653061225,1.0,1.0,1.0,1.0052362503508847,1.0
app1-1,2,4.17,4.17,6,6,221.01774098094754,219.86676619278433,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0052348738651753,1.0
app1-2,0,642.8,642.45,33,33,36383.844121706585,36346.864446736334,0.0,0.0,0.0,0.0,1.0005447894777801,1.0,1.0,1.0,1.0010174103195186,1.0
app1-2,1,789.47,790.19,20,20,44698.36789757741,44803.058562659135,0.0,0.0,0.0,0.0,0.9990888267378731,1.0,1.0,1.0,0.9976633143262906,1.0
app1-2,2,618.36,619.92,20,20,37335.62179865141,37466.02576218634,0.0,0.0,0.0,0.0,0.9974835462640341,1.0,1.0,1.0,0.9965194076264543,1.0
assign1-5-8,0,7200.0,7200.0,5736357,6907107,35826.85425376717,35097.358534427534,4.74,4.61,1.0281995661605206,1.0,1.0,1.0,0.8305006712651186,1.0,1.0207849180052697,1.0
assign1-5-8,1,7200.0,7200.0,6813236,6309496,34469.75157546527,34728.194893389795,4.54,4.61,0.9848156182212581,1.0,1.0,1.0,1.0798383896273174,1.0,0.9925581125446369,1.0
assign1-5-8,2,7200.0,7200.0,6333262,6421846,36127.38158961623,36050.451282540744,4.8,4.78,1.00418410041841,1.0,1.0,1.0,0.986205835518323,1.0,1.0021339623871155,1.0
atlanta-ip,0,7200.0,7200.0,18533,18001,43337.69348871529,44764.62173067853,3.6,7.14,0.5042016806722689,1.0,1.0,1.0,1.0295539136714627,1.0,0.9681237507032182,1.0
atlanta-ip,1,7200.0,7200.0,21153,20488,33224.348694249595,32718.81570754546,3.81,3.68,1.0353260869565217,1.0,1.0,1.0,1.0324580242092933,1.0,1.0154508338939527,1.0
atlanta-ip,2,7200.0,7200.0,30903,22976,36484.18328740221,34693.365382262724,4.27,2.49,1.7148594377510038,1.0,1.0,1.0,1.3450121866295264,1.0,1.0516184545779192,1.0
b1c1s1,0,7200.0,7200.0,35962,47377,101772.57959298001,100776.25571223404,17.13,17.19,0.9965095986038394,1.0,1.0,1.0,0.7590603035228064,1.0,1.0098864943304797,1.0
b1c1s1,1,7200.0,7200.0,21112,11994,99105.70956843253,99360.68846348941,18.36,20.72,0.8861003861003861,1.0,1.0,1.0,1.76021344005336,1.0,0.9974338050691892,1.0
b1c1s1,2,7200.0,7200.0,18673,19088,104172.80512217728,104208.32449310941,17.69,18.1,0.9773480662983426,1.0,1.0,1.0,0.978258591785415,1.0,0.999659150349985,1.0
bab2,0,7200.0,7200.0,3473,3984,54272.20839437869,54930.41590200431,1.29,1.32,0.9772727272727273,1.0,1.0,1.0,0.8717369477911646,1.0,0.9880174308383199,1.0
bab2,1,7200.0,7200.0,3262,3402,49060.940255721325,49104.09399791464,2.44,1.97,1.2385786802030456,1.0,1.0,1.0,0.9588477366255144,1.0,0.9991211783238451,1.0
bab2,2,7200.0,7200.0,1981,2004,51336.0834263738,51389.89348672465,1e+20,1e+20,1.0,1.0,1.0,1.0,0.9885229540918163,1.0,0.9989529057816641,1.0
bab6,0,7200.0,7200.0,4790,5249,15216.593062791633,15218.986729701408,0.58,0.58,1.0,1.0,1.0,1.0,0.9125547723375881,1.0,0.9998427183785433,1.0
bab6,1,7200.0,7200.0,3258,3189,22203.67304528304,22313.66096021084,1.14,1.14,1.0,1.0,1.0,1.0,1.021636876763876,1.0,0.9950708261130289,1.0
bab6,2,7200.0,7200.0,4779,4622,20738.843556386426,20696.549931990292,1.94,1.94,1.0,1.0,1.0,1.0,1.0339679792297707,1.0,1.0020435108525387,1.0
beasleyC3,0,31.56,31.74,83,83,57.36058461538471,58.04506127320965,0.0,0.0,0.0,0.0,0.9943289224952742,1.0,1.0,1.0,0.9882078398607729,1.0
beasleyC3,1,17.35,17.39,2,2,52.69888328912467,52.970346153846165,0.0,0.0,0.0,0.0,0.9976998274870615,1.0,1.0,1.0,0.994875191792535,1.0
beasleyC3,2,47.2,45.8,453,461,60.5070464190982,60.232341511936355,0.0,0.0,0.0,0.0,1.0305676855895198,1.0,0.982646420824295,1.0,1.0045607542437547,1.0
binkar10_1,0,31.34,31.7,2560,2560,16.530218892167426,11.734022583431873,0.0,0.0,0.0,0.0,0.9886435331230284,1.0,1.0,1.0,1.4087427201229061,1.0
binkar10_1,1,29.22,29.11,2246,2246,11.699173704422169,16.575441517537346,0.0,0.0,0.0,0.0,1.003778770182068,1.0,1.0,1.0,0.7058136998670033,1.0
binkar10_1,2,28.71,28.8,2509,2509,16.276617190935752,16.31334525533296,0.0,0.0,0.0,0.0,0.996875,1.0,1.0,1.0,0.9977485878081812,1.0
blp-ar98,0,7200.0,7200.0,238231,196402,5967.561744100082,6522.7293026418065,0.27,0.43,0.627906976744186,1.0,1.0,1.0,1.2129764462683679,1.0,0.9148872300561557,1.0
blp-ar98,1,7200.0,7200.0,207500,217611,6377.591394602854,5767.983501523759,0.33,0.23,1.434782608695652,1.0,1.0,1.0,0.9535363561584662,1.0,1.105688217193765,1.0
