ProblemName,Seed,T_combined,T_combined-no-flowcover-no-mir,N_combined,N_combined-no-flowcover-no-mir,DI_combined,DI_combined-no-flowcover-no-mir,Gap_combined,Gap_combined-no-flowcover-no-mir,GapQ_combined,GapQ_combined-no-flowcover-no-mir,TQ_combined,TQ_combined-no-flowcover-no-mir,NQ_combined,NQ_combined-no-flowcover-no-mir,DIQ_combined,DIQ_combined-no-flowcover-no-mir
binkar10_1,0,31.34,30.74,2560,2538,16.530218892167426,16.20400859760435,0.0,0.0,0.0,0.0,1.0195185426154847,1.0,1.0086682427107958,1.0,1.0201314565218944,1.0
binkar10_1,1,29.22,29.1,2246,2233,11.699173704422169,16.57083117016748,0.0,0.0,0.0,0.0,1.0041237113402062,1.0,1.005821764442454,1.0,0.7060100718112576,1.0
binkar10_1,2,28.71,28.98,2509,2529,16.276617190935752,11.430172008337992,0.0,0.0,0.0,0.0,0.9906832298136646,1.0,0.9920917358639778,1.0,1.4240045713277467,1.0
cost266-UUE,0,4923.15,5039.76,375684,383777,18442.076416295735,18651.556545989122,0.0,0.0,0.0,0.0,0.9768619934282584,1.0,0.9789122328852432,1.0,0.9887687588337803,1.0
csched007,0,2327.77,3089.69,187288,186152,16205.184854415957,19333.003682336188,0.0,0.0,0.0,0.0,0.7533992083348168,1.0,1.0061025398598995,1.0,0.8382135089138788,1.0
csched007,1,2613.95,3376.84,220934,272891,16818.595935897436,22517.009152991457,0.0,0.0,0.0,0.0,0.7740816858364624,1.0,0.8096053002847291,1.0,0.7469285028763702,1.0
csched007,2,3393.08,2753.44,247755,225167,21171.48683076923,18308.8416985755,0.0,0.0,0.0,0.0,1.2323057702365041,1.0,1.1003166538613562,1.0,1.1563531532645486,1.0
csched008,1,7200.0,3986.19,694455,370049,6763.466872832382,3565.1760867051985,2.33,0.0,inf,0.0,1.8062360298932063,1.0,1.8766568751705854,1.0,1.8970919551642464,1.0
csched008,2,5772.95,6352.31,546382,516838,3644.5367774566475,3875.0034248554866,0.0,0.0,0.0,0.0,0.9087953830968576,1.0,1.0571629795022812,1.0,0.9405247887213328,1.0
fastxgemm-n2r6s0t2,0,4702.82,4242.55,1118937,988905,326247.55928434775,303577.8079965217,0.0,0.0,0.0,0.0,1.1084889983618342,1.0,1.1314908914405326,1.0,1.074675258502709,1.0
fastxgemm-n2r6s0t2,1,4017.11,2081.0,1012967,481982,236190.0877195652,133442.52422173915,0.0,0.0,0.0,0.0,1.930374819798174,1.0,2.1016697719001955,1.0,1.7699761683696285,1.0
fastxgemm-n2r6s0t2,2,3129.08,3463.31,769500,800783,211406.1993217391,260537.51887826086,0.0,0.0,0.0,0.0,0.9034940562640942,1.0,0.9609344853724417,1.0,0.8114232461871301,1.0
gen-ip002,0,1315.68,1418.2,5856334,6087223,508.2774467047354,547.2541143900503,0.0,0.0,0.0,0.0,0.9277111831899592,1.0,0.9620698962400425,1.0,0.9287777530393593,1.0
gen-ip002,1,1295.56,1287.18,5478569,5462632,494.6164580802605,491.2244363878288,0.0,0.0,0.0,0.0,1.0065103559719697,1.0,1.0029174581044449,1.0,1.006905238097222,1.0
gen-ip002,2,1271.92,1263.62,5583912,5583755,491.4221079150391,487.4303909885931,0.0,0.0,0.0,0.0,1.006568430382552,1.0,1.000028117279501,1.0,1.0081893066174026,1.0
gen-ip054,0,3047.64,3377.24,15245360,17017459,1519.5676472901296,1649.662208204416,0.0,0.0,0.0,0.0,0.9024055145621869,1.0,0.8958658281474338,1.0,0.9211386668935766,1.0
gen-ip054,1,2530.93,2379.4,12476019,11995879,1305.3634888918657,1216.7269941637312,0.0,0.0,0.0,0.0,1.063684122047575,1.0,1.0400254120602583,1.0,1.072848301347218,1.0
gen-ip054,2,3381.24,3269.89,16438070,16034948,1711.353184130085,1643.9755680935514,0.0,0.0,0.0,0.0,1.0340531332858292,1.0,1.0251402124908668,1.0,1.0409845604425063,1.0
glass4,0,4008.75,4034.07,2705421,3057251,115238.12619050834,113394.91773519712,0.0,0.0,0.0,0.0,0.993723460425823,1.0,0.8849194913992996,1.0,1.0162547713083185,1.0
glass4,1,2392.84,1869.97,1888717,1494449,65192.70388069259,53906.77802741405,0.0,0.0,0.0,0.0,1.2796141114563335,1.0,1.2638216493169054,1.0,1.20936005204279,1.0
glass4,2,2212.84,2101.4,1599046,1854280,59809.337062710845,56681.74649374515,0.0,0.0,0.0,0.0,1.053031312458361,1.0,0.8623541212761827,1.0,1.0551780910510729,1.0
graphdraw-domain,0,1010.47,1014.34,1823083,1788814,16022.469596159708,16298.0309671848,0.0,0.0,0.0,0.0,0.9961847112408069,1.0,1.0191573858433576,1.0,0.9830923519792102,1.0
graphdraw-domain,1,1122.85,1180.52,1941578,1989742,17974.215538961696,18641.61523417657,0.0,0.0,0.0,0.0,0.9511486463592315,1.0,0.9757938466394136,1.0,0.9641983976800842,1.0
icir97_tension,1,7200.0,5939.53,2776552,2269531,962.1043945098027,834.4406992941183,0.05,0.0,inf,0.0,1.212217128291296,1.0,1.2234034256416855,1.0,1.1529931309962222,1.0
map10,0,1006.71,1001.07,1637,1640,11390.739125871321,11255.346459656443,0.0,0.0,0.0,0.0,1.0056339716503342,1.0,0.9981707317073171,1.0,1.012029186902436,1.0
map10,2,792.96,805.35,965,979,9060.827479977572,9182.369364337746,0.0,0.0,0.0,0.0,0.9846153846153847,1.0,0.9856996935648621,1.0,0.9867635596502776,1.0
map16715-04,2,2160.04,2123.63,1990,1977,105132.8366379955,107935.52929866748,0.0,0.0,0.0,0.0,1.017145171239811,1.0,1.0065756196256954,1.0,0.9740336413886787,1.0
mushroom-best,0,579.5,575.72,27393,26972,20569.405130947434,20434.739734415518,0.0,0.0,0.0,0.0,1.006565691655666,1.0,1.015608779475011,1.0,1.0065900225930022,1.0
neos-1171448,0,58.11,7.19,101,1,164.55026455026456,164.55026455026456,0.0,0.0,0.0,0.0,8.082058414464534,1.0,101.0,1.0,1.0,1.0
neos-1171448,1,5.16,4163.96,1,322,145.38868538868542,145.38868538868542,0.0,0.0,0.0,0.0,0.0012392049875599189,1.0,0.003105590062111801,1.0,1.0,1.0
neos-3024952-loue,0,4646.86,4367.65,383076,401234,6688.458145836447,6574.139234190458,0.0,0.0,0.0,0.0,1.0639268256385013,1.0,0.9547446128692982,1.0,1.0173891832183055,1.0
neos-4738912-atrato,0,813.4,702.38,61981,60433,272.5186309742815,266.7760936826701,0.0,0.0,0.0,0.0,1.158062587203508,1.0,1.025615144043817,1.0,1.021525681751837,1.0
neos-5107597-kakapo,0,2144.47,2672.94,560533,882141,79157.67134285816,88930.64864194157,0.0,0.0,0.0,0.0,0.8022888654440428,1.0,0.6354233620248917,1.0,0.8901056334534113,1.0
neos-5107597-kakapo,2,5927.88,3597.91,1725439,1115823,141198.77281605886,118102.49331863225,0.0,0.0,0.0,0.0,1.6475898507744775,1.0,1.546337546367121,1.0,1.195561320074035,1.0
neos-5188808-nattai,0,1251.29,1283.68,12145,12101,112030.52226645657,114915.20648341415,0.0,0.0,0.0,0.0,0.9747678549171133,1.0,1.003636063135278,1.0,0.974897280305771,1.0
