ProblemName,Seed,T_combined,T_combined-no-flowcover-no-mir,N_combined,N_combined-no-flowcover-no-mir,DI_combined,DI_combined-no-flowcover-no-mir,Gap_combined,Gap_combined-no-flowcover-no-mir,GapQ_combined,GapQ_combined-no-flowcover-no-mir,TQ_combined,TQ_combined-no-flowcover-no-mir,NQ_combined,NQ_combined-no-flowcover-no-mir,DIQ_combined,DIQ_combined-no-flowcover-no-mir
30n20b8,0,149.68,149.79,171,171,8157.48127384106,8160.239467218542,0.0,0.0,0.0,0.0,0.9992656385606516,1.0,1.0,1.0,0.9996619960249252,1.0
30n20b8,1,623.6,621.66,1999,1999,24175.587104304643,24086.309637417224,0.0,0.0,0.0,0.0,1.0031206768973395,1.0,1.0,1.0,1.003706564776064,1.0
30n20b8,2,693.56,688.46,3499,3499,33380.86676655629,33147.38637417219,0.0,0.0,0.0,0.0,1.0074078377828777,1.0,1.0,1.0,1.0070437044341458,1.0
50v-10,0,7200.0,7200.0,829421,747722,11838.127931802672,12291.999435375616,1.69,2.18,0.775229357798165,1.0,1.0,1.0,1.1092638707969005,1.0,0.963075860362739,1.0
50v-10,1,7200.0,7200.0,867997,1062430,10623.056822917131,11609.018578447418,1.15,1.36,0.8455882352941175,1.0,1.0,1.0,0.8169921783082179,1.0,0.9150693274485096,1.0
50v-10,2,7200.0,7200.0,833134,826465,10830.810815538305,10167.14733105475,1.37,1.14,1.2017543859649125,1.0,1.0,1.0,1.0080693072301912,1.0,1.0652752894075261,1.0
CMS750_4,0,185.73,185.34,2028,2028,236.69047619047618,231.42063492063494,0.0,0.0,0.0,0.0,1.0021042408546454,1.0,1.0,1.0,1.0227716999897114,1.0
CMS750_4,1,370.72,371.03,3254,3254,353.7340238095247,348.78696428571516,0.0,0.0,0.0,0.0,0.9991644880467888,1.0,1.0,1.0,1.014183613581834,1.0
CMS750_4,2,473.12,472.14,13518,13518,409.4761904761905,408.7936507936508,0.0,0.0,0.0,0.0,1.0020756555259034,1.0,1.0,1.0,1.0016696435505164,1.0
air05,0,40.07,40.21,648,648,100.02059907484637,100.2542746644422,0.0,0.0,0.0,0.0,0.9965182790350658,1.0,1.0,1.0,0.9976691708121378,1.0
air05,1,36.54,36.72,716,716,94.20627056950015,94.40465382573733,0.0,0.0,0.0,0.0,0.9950980392156863,1.0,1.0,1.0,0.9978985860527239,1.0
air05,2,30.22,30.45,282,282,87.80452756502615,88.13590657465686,0.0,0.0,0.0,0.0,0.9924466338259441,1.0,1.0,1.0,0.9962401361430371,1.0
app1-1,0,3.53,3.5,2,2,210.18724100076997,210.53793163393735,0.0,0.0,0.0,0.0,1.0085714285714285,1.0,1.0,1.0,0.9983343113972587,1.0
app1-1,1,4.94,4.93,3,3,323.57328085036335,322.5925379502166,0.0,0.0,0.0,0.0,1.002028397565923,1.0,1.0,1.0,1.0030401909057738,1.0
app1-1,2,4.17,4.16,6,6,221.01774098094754,219.6387064729805,0.0,0.0,0.0,0.0,1.002403846153846,1.0,1.0,1.0,1.0062786497430802,1.0
app1-2,0,642.8,644.43,33,33,36383.844121706585,36476.193203694456,0.0,0.0,0.0,0.0,0.997470632962463,1.0,1.0,1.0,0.9974682368449973,1.0
app1-2,1,789.47,791.01,20,20,44698.36789757741,44831.25398382371,0.0,0.0,0.0,0.0,0.9980531219580031,1.0,1.0,1.0,0.99703586060086,1.0
app1-2,2,618.36,619.82,20,20,37335.62179865141,37451.84848645072,0.0,0.0,0.0,0.0,0.9976444774289309,1.0,1.0,1.0,0.9968966368150999,1.0
assign1-5-8,0,7200.0,7200.0,5736357,5735311,35826.85425376717,35818.53007593698,4.74,4.74,1.0,1.0,1.0,1.0,1.0001823789503306,1.0,1.0002323986442923,1.0
assign1-5-8,1,7200.0,7200.0,6813236,6824672,34469.75157546527,34458.97572357847,4.54,4.54,1.0,1.0,1.0,1.0,0.9983243150733104,1.0,1.0003127153857747,1.0
