ProblemName,Seed,T_combined,T_combined-no-presol,N_combined,N_combined-no-presol,DI_combined,DI_combined-no-presol,Gap_combined,Gap_combined-no-presol,GapQ_combined,GapQ_combined-no-presol,TQ_combined,TQ_combined-no-presol,NQ_combined,NQ_combined-no-presol,DIQ_combined,DIQ_combined-no-presol
30n20b8,1,623.6,899.04,1999,2334,24175.587104304643,33203.53690397351,0.0,0.0,0.0,0.0,0.6936287595657591,1.0,0.8564695801199658,1.0,0.7281027673112596,1.0
30n20b8,2,693.56,1013.87,3499,3583,33380.86676655629,52257.28353476821,0.0,0.0,0.0,0.0,0.6840719224358152,1.0,0.9765559586938319,1.0,0.6387792190603838,1.0
CMS750_4,0,185.73,215.56,2028,1968,236.69047619047618,260.3650793650794,0.0,0.0,0.0,0.0,0.8616162553349415,1.0,1.0304878048780488,1.0,0.9090715113089067,1.0
CMS750_4,1,370.72,393.59,3254,3878,353.7340238095247,353.2887444444432,0.0,0.0,0.0,0.0,0.9418938489290888,1.0,0.8390923156266117,1.0,1.0012603836722331,1.0
CMS750_4,2,473.12,703.2,13518,16414,409.4761904761905,640.0893273809539,0.0,0.0,0.0,0.0,0.6728100113765643,1.0,0.8235652491775314,1.0,0.6397172597012974,1.0
beasleyC3,2,47.2,47.01,453,429,60.5070464190982,58.59836870026531,0.0,0.0,0.0,0.0,1.004041693256754,1.0,1.055944055944056,1.0,1.032572198871199,1.0
binkar10_1,0,31.34,34.99,2560,2774,16.530218892167426,12.162292987957674,0.0,0.0,0.0,0.0,0.8956844812803658,1.0,0.9228550829127613,1.0,1.3591367111888024,1.0
binkar10_1,1,29.22,30.21,2246,2325,11.699173704422169,16.986594143223254,0.0,0.0,0.0,0.0,0.9672293942403177,1.0,0.9660215053763441,1.0,0.6887298069159741,1.0
binkar10_1,2,28.71,30.24,2509,2252,16.276617190935752,16.73891410134445,0.0,0.0,0.0,0.0,0.949404761904762,1.0,1.1141207815275311,1.0,0.9723819055639,1.0
bnatt400,0,970.91,994.7,6821,6819,97091.0,99470.0,0.0,0.0,0.0,0.0,0.9760832411782446,1.0,1.0002932981375567,1.0,0.9760832411782447,1.0
bnatt400,1,1105.02,997.61,6346,5276,110502.0,99761.0,0.0,0.0,0.0,0.0,1.1076673249065265,1.0,1.2028051554207733,1.0,1.1076673249065265,1.0
bnatt400,2,745.15,801.58,5500,6151,74515.0,80158.0,0.0,0.0,0.0,0.0,0.9296015369644951,1.0,0.894163550642172,1.0,0.9296015369644951,1.0
bnatt500,0,4368.17,4570.33,29526,29432,436817.0,457033.0,0.0,0.0,0.0,0.0,0.9557668702260013,1.0,1.0031938026637672,1.0,0.9557668702260012,1.0
bnatt500,1,6333.06,5889.02,38962,39462,633306.0,588902.0,0.0,0.0,0.0,0.0,1.0754013401211067,1.0,0.9873295828898687,1.0,1.0754013401211067,1.0
bnatt500,2,4996.9,5142.35,29029,29957,499689.99999999994,514235.00000000006,0.0,0.0,0.0,0.0,0.9717152663665444,1.0,0.9690222652468539,1.0,0.9717152663665443,1.0
cost266-UUE,0,4923.15,5257.16,375684,414995,18442.076416295735,19081.07281243498,0.0,0.0,0.0,0.0,0.936465696307512,1.0,0.9052735575127411,1.0,0.966511505803656,1.0
cost266-UUE,1,3728.83,3647.07,294630,272445,13227.091766782543,13275.201510354182,0.0,0.0,0.0,0.0,1.0224179958158193,1.0,1.0814292793040796,1.0,0.9963759688669046,1.0
cost266-UUE,2,4067.72,5255.83,306702,413061,15450.64854860508,20195.06558834061,0.0,0.0,0.0,0.0,0.7739443627362377,1.0,0.7425101861468403,1.0,0.7650704812528727,1.0
csched007,0,2327.77,2369.68,187288,188163,16205.184854415957,16612.468933903136,0.0,0.0,0.0,0.0,0.9823140677222242,1.0,0.9953497765235461,1.0,0.9754832300299455,1.0
csched007,1,2613.95,2830.93,220934,253975,16818.595935897436,19514.361429059827,0.0,0.0,0.0,0.0,0.9233538095254916,1.0,0.8699045181612364,1.0,0.8618573555193054,1.0
csched007,2,3393.08,2937.45,247755,236575,21171.48683076923,18761.481102564096,0.0,0.0,0.0,0.0,1.1551107252889412,1.0,1.0472577406742047,1.0,1.128454982580014,1.0
csched008,2,5772.95,5951.86,546382,537743,3644.5367774566475,4472.391673410404,0.0,0.0,0.0,0.0,0.969940489191614,1.0,1.0160652951316893,1.0,0.8148966019958446,1.0
dano3_3,0,143.7,146.71,10,12,1862.9259719075267,1862.9643054683231,0.0,0.0,0.0,0.0,0.9794833344693612,1.0,0.8333333333333334,1.0,0.9999794233519752,1.0
dano3_3,1,142.65,144.43,14,16,1263.5882429307567,1271.1120162615553,0.0,0.0,0.0,0.0,0.9876756906459877,1.0,0.875,1.0,0.9940809517693597,1.0
dano3_5,1,285.81,286.93,159,166,1780.2608740715739,1782.7891380566998,0.0,0.0,0.0,0.0,0.9960966089290071,1.0,0.9578313253012049,1.0,0.9985818491199235,1.0
drayage-25-23,2,6941.84,5052.52,552534,455660,1277.0347172139345,1154.5168726460472,0.0,0.0,0.0,0.0,1.3739361744238519,1.0,1.2126015011192557,1.0,1.1061204452448474,1.0
