ProblemName,Seed,T_combined,T_combined-no-presol,N_combined,N_combined-no-presol,DI_combined,DI_combined-no-presol,Gap_combined,Gap_combined-no-presol,GapQ_combined,GapQ_combined-no-presol,TQ_combined,TQ_combined-no-presol,NQ_combined,NQ_combined-no-presol,DIQ_combined,DIQ_combined-no-presol
30n20b8,0,149.68,149.54,171,171,8157.48127384106,8147.476902649007,0.0,0.0,0.0,0.0,1.0009362043600376,1.0,1.0,1.0,1.0012279103471653,1.0
30n20b8,1,623.6,899.04,1999,2334,24175.587104304643,33203.53690397351,0.0,0.0,0.0,0.0,0.6936287595657591,1.0,0.8564695801199658,1.0,0.7281027673112596,1.0
30n20b8,2,693.56,1013.87,3499,3583,33380.86676655629,52257.28353476821,0.0,0.0,0.0,0.0,0.6840719224358152,1.0,0.9765559586938319,1.0,0.6387792190603838,1.0
50v-10,0,7200.0,7200.0,829421,845821,11838.127931802672,10703.577812799973,1.69,1.41,1.198581560283688,1.0,1.0,1.0,0.9806105547154776,1.0,1.1059972785591317,1.0
50v-10,1,7200.0,7200.0,867997,972372,10623.056822917131,10859.965626958841,1.15,1.29,0.8914728682170542,1.0,1.0,1.0,0.8926593937299716,1.0,0.9781851239516259,1.0
50v-10,2,7200.0,7200.0,833134,941067,10830.810815538305,10702.457805727627,1.37,1.26,1.0873015873015874,1.0,1.0,1.0,0.8853078473689971,1.0,1.0119928536174174,1.0
CMS750_4,0,185.73,215.56,2028,1968,236.69047619047618,260.3650793650794,0.0,0.0,0.0,0.0,0.8616162553349415,1.0,1.0304878048780488,1.0,0.9090715113089067,1.0
CMS750_4,1,370.72,393.59,3254,3878,353.7340238095247,353.2887444444432,0.0,0.0,0.0,0.0,0.9418938489290888,1.0,0.8390923156266117,1.0,1.0012603836722331,1.0
CMS750_4,2,473.12,703.2,13518,16414,409.4761904761905,640.0893273809539,0.0,0.0,0.0,0.0,0.6728100113765643,1.0,0.8235652491775314,1.0,0.6397172597012974,1.0
air05,0,40.07,39.93,648,648,100.02059907484637,99.88467505876994,0.0,0.0,0.0,0.0,1.0035061357375408,1.0,1.0,1.0,1.001360809513536,1.0
air05,1,36.54,36.37,716,716,94.20627056950015,93.97193978918618,0.0,0.0,0.0,0.0,1.0046741820181468,1.0,1.0,1.0,1.002493625020827,1.0
air05,2,30.22,30.52,282,282,87.80452756502615,88.23489459315992,0.0,0.0,0.0,0.0,0.9901703800786369,1.0,1.0,1.0,0.995122484929368,1.0
app1-1,0,3.53,3.47,2,2,210.18724100076997,210.74256317226576,0.0,0.0,0.0,0.0,1.0172910662824206,1.0,1.0,1.0,0.9973649263673335,1.0
app1-1,1,4.94,4.87,3,3,323.57328085036335,320.8878658581873,0.0,0.0,0.0,0.0,1.0143737166324436,1.0,1.0,1.0,1.00836870221002,1.0
app1-1,2,4.17,4.25,6,6,221.01774098094754,227.76529986897293,0.0,0.0,0.0,0.0,0.9811764705882353,1.0,1.0,1.0,0.9703749478436483,1.0
app1-2,0,642.8,643.49,33,33,36383.844121706585,36396.57238075866,0.0,0.0,0.0,0.0,0.9989277222645262,1.0,1.0,1.0,0.9996502896229095,1.0
app1-2,1,789.47,792.4,20,20,44698.36789757741,44912.58315829081,0.0,0.0,0.0,0.0,0.9963023725391217,1.0,1.0,1.0,0.9952303954560259,1.0
app1-2,2,618.36,620.83,20,20,37335.62179865141,37527.9278771087,0.0,0.0,0.0,0.0,0.9960214551487524,1.0,1.0,1.0,0.9948756542304433,1.0
assign1-5-8,0,7200.0,7200.0,5736357,5738995,35826.85425376717,35818.87928584264,4.74,4.74,1.0,1.0,1.0,1.0,0.9995403376375132,1.0,1.000222647053273,1.0
assign1-5-8,1,7200.0,7200.0,6813236,6731722,34469.75157546527,34504.64662782376,4.54,4.55,0.9978021978021978,1.0,1.0,1.0,1.0121089373565932,1.0,0.9989886854157681,1.0
assign1-5-8,2,7200.0,7200.0,6333262,6345956,36127.38158961623,36110.09391131434,4.8,4.8,1.0,1.0,1.0,1.0,0.9979996709715605,1.0,1.0004787491925207,1.0
atlanta-ip,0,7200.0,7200.0,18533,13209,43337.69348871529,44691.07530799744,3.6,9.11,0.39517014270032935,1.0,1.0,1.0,1.4030585207055795,1.0,0.9697169555676374,1.0
atlanta-ip,1,7200.0,7200.0,21153,15744,33224.348694249595,34897.947851930876,3.81,3.43,1.1107871720116618,1.0,1.0,1.0,1.3435594512195121,1.0,0.9520430495001533,1.0
atlanta-ip,2,7200.0,7200.0,30903,26724,36484.18328740221,35858.496787573524,4.27,3.66,1.1666666666666665,1.0,1.0,1.0,1.156376290974405,1.0,1.0174487654497975,1.0
b1c1s1,0,7200.0,7200.0,35962,44942,101772.57959298001,101004.21904987928,17.13,16.8,1.019642857142857,1.0,1.0,1.0,0.8001869075697565,1.0,1.0076072123553699,1.0
b1c1s1,1,7200.0,7200.0,21112,27609,99105.70956843253,98138.67804821904,18.36,15.76,1.16497461928934,1.0,1.0,1.0,0.764678184649933,1.0,1.0098537247438606,1.0
b1c1s1,2,7200.0,7200.0,18673,21952,104172.80512217728,103469.15628792897,17.69,18.96,0.9330168776371308,1.0,1.0,1.0,0.8506286443148688,1.0,1.0068005660768145,1.0
bab2,0,7200.0,7200.0,3473,3486,54272.20839437869,54673.12646805785,1.29,1.29,1.0,1.0,1.0,1.0,0.9962707974756168,1.0,0.9926669993179668,1.0
bab2,1,7200.0,7200.0,3262,3355,49060.940255721325,49072.45139355044,2.44,1.1,2.218181818181818,1.0,1.0,1.0,0.9722801788375559,1.0,0.9997654256614003,1.0
bab2,2,7200.0,7200.0,1981,1934,51336.0834263738,52158.035969556964,1e+20,1e+20,1.0,1.0,1.0,1.0,1.0243019648397105,1.0,0.9842411139931935,1.0
bab6,0,7200.0,7200.0,4790,5045,15216.593062791633,14941.936495663454,0.58,0.58,1.0,1.0,1.0,1.0,0.9494549058473737,1.0,1.0183815911149061,1.0
bab6,1,7200.0,7200.0,3258,3232,22203.67304528304,22358.52847813781,1.14,1.14,1.0,1.0,1.0,1.0,1.0080445544554455,1.0,0.9930739881649104,1.0
bab6,2,7200.0,7200.0,4779,4748,20738.843556386426,20795.90020853201,1.94,1.94,1.0,1.0,1.0,1.0,1.0065290648694187,1.0,0.9972563509358361,1.0
beasleyC3,0,31.56,31.54,83,83,57.36058461538471,57.2050897877985,0.0,0.0,0.0,0.0,1.0006341154090044,1.0,1.0,1.0,1.0027181991700915,1.0
beasleyC3,1,17.35,17.29,2,2,52.69888328912467,52.50389920424404,0.0,0.0,0.0,0.0,1.00347021399653,1.0,1.0,1.0,1.0037137067500859,1.0
beasleyC3,2,47.2,47.01,453,429,60.5070464190982,58.59836870026531,0.0,0.0,0.0,0.0,1.004041693256754,1.0,1.055944055944056,1.0,1.032572198871199,1.0
binkar10_1,0,31.34,34.99,2560,2774,16.530218892167426,12.162292987957674,0.0,0.0,0.0,0.0,0.8956844812803658,1.0,0.9228550829127613,1.0,1.3591367111888024,1.0
