ProblemName,Seed,T_useinf-b_usebound_b,T_useinf-b_usebound_b-no-nnzcancel,N_useinf-b_usebound_b,N_useinf-b_usebound_b-no-nnzcancel,DI_useinf-b_usebound_b,DI_useinf-b_usebound_b-no-nnzcancel,Gap_useinf-b_usebound_b,Gap_useinf-b_usebound_b-no-nnzcancel,GapQ_useinf-b_usebound_b,GapQ_useinf-b_usebound_b-no-nnzcancel,TQ_useinf-b_usebound_b,TQ_useinf-b_usebound_b-no-nnzcancel,NQ_useinf-b_usebound_b,NQ_useinf-b_usebound_b-no-nnzcancel,DIQ_useinf-b_usebound_b,DIQ_useinf-b_usebound_b-no-nnzcancel
beasleyC3,2,47.2,47.26,453,429,60.5070464190982,59.2574462864722,0.0,0.0,0.0,0.0,0.9987304274227677,1.0,1.055944055944056,1.0,1.021087647391772,1.0
binkar10_1,0,31.34,37.92,2560,2735,16.530218892167426,17.8697998151691,0.0,0.0,0.0,0.0,0.8264767932489451,1.0,0.9360146252285192,1.0,0.9250366015927864,1.0
binkar10_1,1,29.22,30.65,2246,2389,11.699173704422169,17.166397455932326,0.0,0.0,0.0,0.0,0.9533442088091354,1.0,0.9401423189619087,1.0,0.6815159519902175,1.0
binkar10_1,2,28.71,29.69,2509,2264,16.276617190935752,16.424049720403314,0.0,0.0,0.0,0.0,0.966992253283934,1.0,1.1082155477031803,1.0,0.9910233753564196,1.0
cost266-UUE,0,4923.15,6047.83,375684,463222,18442.076416295735,21869.27802609905,0.0,0.0,0.0,0.0,0.8140357781220702,1.0,0.8110236560439703,1.0,0.8432869340399233,1.0
cost266-UUE,1,3728.83,4081.74,294630,333136,13227.091766782543,15692.227200422452,0.0,0.0,0.0,0.0,0.9135393239157811,1.0,0.8844135728351183,1.0,0.8429072303023025,1.0
cost266-UUE,2,4067.72,5401.04,306702,414623,15450.64854860508,20927.576330008207,0.0,0.0,0.0,0.0,0.7531364329832773,1.0,0.7397129440479665,1.0,0.7382913484563561,1.0
dano3_3,0,143.7,144.71,10,12,1862.9259719075267,1872.9326734633473,0.0,0.0,0.0,0.0,0.9930205238062331,1.0,0.8333333333333334,1.0,0.994657201672222,1.0
dano3_3,1,142.65,142.99,14,12,1263.5882429307567,1261.0955817786487,0.0,0.0,0.0,0.0,0.9976222113434505,1.0,1.1666666666666667,1.0,1.0019765838435437,1.0
dano3_5,1,285.81,286.66,159,166,1780.2608740715739,1780.2755837089514,0.0,0.0,0.0,0.0,0.9970348147631339,1.0,0.9578313253012049,1.0,0.9999917374380056,1.0
fastxgemm-n2r6s0t2,0,4702.82,5456.64,1118937,1254092,326247.55928434775,416431.3842921739,0.0,0.0,0.0,0.0,0.8618527152240205,1.0,0.8922287998009716,1.0,0.7834365314201391,1.0
fastxgemm-n2r6s0t2,1,4017.11,2297.35,1012967,544145,236190.0877195652,145322.71966304345,0.0,0.0,0.0,0.0,1.7485842383615906,1.0,1.861575499177609,1.0,1.6252798479633046,1.0
fastxgemm-n2r6s0t2,2,3129.08,2695.76,769500,647594,211406.1993217391,177450.90282826088,0.0,0.0,0.0,0.0,1.1607413122829924,1.0,1.188244486514699,1.0,1.1913503732710822,1.0
graphdraw-domain,0,1010.47,1031.77,1823083,1757494,16022.469596159708,16753.977478411052,0.0,0.0,0.0,0.0,0.9793558641945396,1.0,1.0373196153158986,1.0,0.9563382556056342,1.0
