ProblemName,Seed,T_useinf-b_usebound_b,T_useinf-b_usebound_b-no-nnzcancel,N_useinf-b_usebound_b,N_useinf-b_usebound_b-no-nnzcancel,DI_useinf-b_usebound_b,DI_useinf-b_usebound_b-no-nnzcancel,Gap_useinf-b_usebound_b,Gap_useinf-b_usebound_b-no-nnzcancel,GapQ_useinf-b_usebound_b,GapQ_useinf-b_usebound_b-no-nnzcancel,TQ_useinf-b_usebound_b,TQ_useinf-b_usebound_b-no-nnzcancel,NQ_useinf-b_usebound_b,NQ_useinf-b_usebound_b-no-nnzcancel,DIQ_useinf-b_usebound_b,DIQ_useinf-b_usebound_b-no-nnzcancel
30n20b8,0,149.68,149.73,171,171,8157.48127384106,8158.607652980131,0.0,0.0,0.0,0.0,0.9996660655847193,1.0,1.0,1.0,0.9998619397834801,1.0
30n20b8,1,623.6,622.5,1999,1999,24175.587104304643,24114.994466887423,0.0,0.0,0.0,0.0,1.0017670682730924,1.0,1.0,1.0,1.0025126540045621,1.0
30n20b8,2,693.56,693.71,3499,3499,33380.86676655629,33375.297748344376,0.0,0.0,0.0,0.0,0.9997837713165443,1.0,1.0,1.0,1.000166860480284,1.0
50v-10,0,7200.0,7200.0,829421,822628,11838.127931802672,10570.912096315396,1.69,1.32,1.2803030303030303,1.0,1.0,1.0,1.0082576814793565,1.0,1.119877624933517,1.0
50v-10,1,7200.0,7200.0,867997,957507,10623.056822917131,11500.401628374364,1.15,1.43,0.8041958041958042,1.0,1.0,1.0,0.9065176547012189,1.0,0.9237118116559857,1.0
50v-10,2,7200.0,7200.0,833134,951374,10830.810815538305,10427.53115589668,1.37,1.18,1.1610169491525426,1.0,1.0,1.0,0.8757165951560585,1.0,1.0386745101608805,1.0
CMS750_4,0,185.73,185.83,2028,2028,236.69047619047618,231.8095238095238,0.0,0.0,0.0,0.0,0.9994618737555829,1.0,1.0,1.0,1.0210558751027117,1.0
CMS750_4,1,370.72,370.78,3254,3254,353.7340238095247,353.7340238095247,0.0,0.0,0.0,0.0,0.9998381789740548,1.0,1.0,1.0,1.0,1.0
CMS750_4,2,473.12,470.44,13518,13518,409.4761904761905,402.71230158730157,0.0,0.0,0.0,0.0,1.0056967944902644,1.0,1.0,1.0,1.0167958338054954,1.0
air05,0,40.07,40.03,648,648,100.02059907484637,99.98390915295361,0.0,0.0,0.0,0.0,1.0009992505620784,1.0,1.0,1.0,1.0003669582656207,1.0
air05,1,36.54,36.49,716,716,94.20627056950015,94.08855994540063,0.0,0.0,0.0,0.0,1.0013702384214853,1.0,1.0,1.0,1.0012510620225012,1.0
air05,2,30.22,30.27,282,282,87.80452756502615,87.87153105331006,0.0,0.0,0.0,0.0,0.9983481995374959,1.0,1.0,1.0,0.9992374835457998,1.0
app1-1,0,3.53,3.53,2,2,210.18724100076997,211.32298268982487,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.9946255647417115,1.0
app1-1,1,4.94,4.89,3,3,323.57328085036335,320.7085988468772,0.0,0.0,0.0,0.0,1.0102249488752557,1.0,1.0,1.0,1.0089323517167492,1.0
app1-1,2,4.17,4.22,6,6,221.01774098094754,222.87524842058664,0.0,0.0,0.0,0.0,0.9881516587677726,1.0,1.0,1.0,0.9916657078217416,1.0
app1-2,0,642.8,642.51,33,33,36383.844121706585,36369.57482254206,0.0,0.0,0.0,0.0,1.000451354842726,1.0,1.0,1.0,1.0003923416546425,1.0
app1-2,1,789.47,791.4,20,20,44698.36789757741,44887.73138503927,0.0,0.0,0.0,0.0,0.9975612838008593,1.0,1.0,1.0,0.9957813976866523,1.0
app1-2,2,618.36,620.27,20,20,37335.62179865141,37474.756935491656,0.0,0.0,0.0,0.0,0.9969206958260113,1.0,1.0,1.0,0.9962872304394195,1.0
assign1-5-8,0,7200.0,7200.0,5736357,5752207,35826.85425376717,35816.25513489924,4.74,4.73,1.0021141649048626,1.0,1.0,1.0,0.9972445358798805,1.0,1.0002959304044492,1.0
assign1-5-8,1,7200.0,7200.0,6813236,6817803,34469.75157546527,34471.105106125644,4.54,4.54,1.0,1.0,1.0,1.0,0.9993301361156959,1.0,0.9999607343409442,1.0
assign1-5-8,2,7200.0,7200.0,6333262,6376065,36127.38158961623,36093.1982443332,4.8,4.79,1.0020876826722338,1.0,1.0,1.0,0.9932869253999136,1.0,1.0009470855159917,1.0
atlanta-ip,0,7200.0,7200.0,18533,18583,43337.69348871529,43280.3999701659,3.6,3.6,1.0,1.0,1.0,1.0,0.9973093687779153,1.0,1.0013237751635586,1.0
atlanta-ip,1,7200.0,7200.0,21153,21126,33224.348694249595,33249.375901996944,3.81,3.83,0.9947780678851175,1.0,1.0,1.0,1.0012780460096564,1.0,0.9992472878943317,1.0
atlanta-ip,2,7200.0,7200.0,30903,30903,36484.18328740221,36483.97619689534,4.27,4.27,1.0,1.0,1.0,1.0,1.0,1.0,1.0000056762044178,1.0
b1c1s1,0,7200.0,7200.0,35962,51191,101772.57959298001,101009.37174266888,17.13,17.39,0.9850488786658999,1.0,1.0,1.0,0.7025062999355356,1.0,1.0075558122691375,1.0
b1c1s1,1,7200.0,7200.0,21112,19248,99105.70956843253,99445.84431547104,18.36,18.78,0.9776357827476038,1.0,1.0,1.0,1.096841230257689,1.0,0.9965796987357309,1.0
b1c1s1,2,7200.0,7200.0,18673,18968,104172.80512217728,103707.21916457007,17.69,16.14,1.0960346964064436,1.0,1.0,1.0,0.9844474905103332,1.0,1.004489426689461,1.0
bab2,0,7200.0,7200.0,3473,3460,54272.20839437869,54636.29620519643,1.29,1.29,1.0,1.0,1.0,1.0,1.003757225433526,1.0,0.993336154971956,1.0
bab2,1,7200.0,7200.0,3262,3382,49060.940255721325,49164.99581858623,2.44,1.1,2.218181818181818,1.0,1.0,1.0,0.9645180366646955,1.0,0.9978835437462691,1.0
bab2,2,7200.0,7200.0,1981,2003,51336.0834263738,51339.36522237302,1e+20,1e+20,1.0,1.0,1.0,1.0,0.9890164752870694,1.0,0.9999360764204037,1.0
bab6,0,7200.0,7200.0,4790,4933,15216.593062791633,15005.116580814478,0.58,0.58,1.0,1.0,1.0,1.0,0.9710115548347862,1.0,1.014093624720487,1.0
bab6,1,7200.0,7200.0,3258,3183,22203.67304528304,22326.960695097514,1.14,1.14,1.0,1.0,1.0,1.0,1.0235626767200754,1.0,0.9944780818357627,1.0
bab6,2,7200.0,7200.0,4779,4744,20738.843556386426,20693.756353504858,1.94,1.94,1.0,1.0,1.0,1.0,1.0073777403035413,1.0,1.0021787829194158,1.0
beasleyC3,0,31.56,31.57,83,83,57.36058461538471,57.27792387267915,0.0,0.0,0.0,0.0,0.9996832435856826,1.0,1.0,1.0,1.001443151865792,1.0
beasleyC3,1,17.35,17.36,2,2,52.69888328912467,52.85593037135279,0.0,0.0,0.0,0.0,0.9994239631336407,1.0,1.0,1.0,0.9970287708280842,1.0
beasleyC3,2,47.2,47.26,453,429,60.5070464190982,59.2574462864722,0.0,0.0,0.0,0.0,0.9987304274227677,1.0,1.055944055944056,1.0,1.021087647391772,1.0
binkar10_1,0,31.34,37.92,2560,2735,16.530218892167426,17.8697998151691,0.0,0.0,0.0,0.0,0.8264767932489451,1.0,0.9360146252285192,1.0,0.9250366015927864,1.0
binkar10_1,1,29.22,30.65,2246,2389,11.699173704422169,17.166397455932326,0.0,0.0,0.0,0.0,0.9533442088091354,1.0,0.9401423189619087,1.0,0.6815159519902175,1.0
binkar10_1,2,28.71,29.69,2509,2264,16.276617190935752,16.424049720403314,0.0,0.0,0.0,0.0,0.966992253283934,1.0,1.1082155477031803,1.0,0.9910233753564196,1.0
blp-ar98,0,7200.0,7200.0,238231,237252,5967.561744100082,5894.6212145883765,0.27,0.27,1.0,1.0,1.0,1.0,1.0041264141082056,1.0,1.0123740825502388,1.0
blp-ar98,1,7200.0,7200.0,207500,207970,6377.591394602854,6406.814636304012,0.33,0.33,1.0,1.0,1.0,1.0,0.9977400586623071,1.0,0.9954387252698766,1.0
