ProblemName,Seed,T_useinf-b_usebound_b,T_useinf-b_usebound_b-no-update,N_useinf-b_usebound_b,N_useinf-b_usebound_b-no-update,DI_useinf-b_usebound_b,DI_useinf-b_usebound_b-no-update,Gap_useinf-b_usebound_b,Gap_useinf-b_usebound_b-no-update,GapQ_useinf-b_usebound_b,GapQ_useinf-b_usebound_b-no-update,TQ_useinf-b_usebound_b,TQ_useinf-b_usebound_b-no-update,NQ_useinf-b_usebound_b,NQ_useinf-b_usebound_b-no-update,DIQ_useinf-b_usebound_b,DIQ_useinf-b_usebound_b-no-update
30n20b8,1,623.6,773.41,1999,2674,24175.587104304643,29108.30016887417,0.0,0.0,0.0,0.0,0.8062993754929468,1.0,0.7475691847419597,1.0,0.8305392951167883,1.0
30n20b8,2,693.56,474.09,3499,3834,33380.86676655629,21667.268801324502,0.0,0.0,0.0,0.0,1.4629289797295872,1.0,0.912623891497131,1.0,1.5406125743229688,1.0
CMS750_4,0,185.73,173.21,2028,2061,236.69047619047618,221.79365079365078,0.0,0.0,0.0,0.0,1.0722822007967205,1.0,0.9839883551673945,1.0,1.0671652472625779,1.0
CMS750_4,1,370.72,532.83,3254,9672,353.7340238095247,438.03841666666625,0.0,0.0,0.0,0.0,0.695756620310418,1.0,0.33643507030603803,1.0,0.8075410976537827,1.0
CMS750_4,2,473.12,372.77,13518,9265,409.4761904761905,328.2460734126975,0.0,0.0,0.0,0.0,1.269200847707702,1.0,1.4590393955747436,1.0,1.2474671401822495,1.0
beasleyC3,2,47.2,48.04,453,432,60.5070464190982,60.92265928381969,0.0,0.0,0.0,0.0,0.9825145711906745,1.0,1.0486111111111112,1.0,0.9931780248989908,1.0
binkar10_1,0,31.34,33.75,2560,2544,16.530218892167426,16.68153774078194,0.0,0.0,0.0,0.0,0.9285925925925926,1.0,1.0062893081761006,1.0,0.9909289628470773,1.0
binkar10_1,1,29.22,30.29,2246,2325,11.699173704422169,17.051882042663504,0.0,0.0,0.0,0.0,0.9646748101683724,1.0,0.9660215053763441,1.0,0.6860928122274741,1.0
binkar10_1,2,28.71,31.18,2509,2376,16.276617190935752,17.454443325093216,0.0,0.0,0.0,0.0,0.9207825529185376,1.0,1.055976430976431,1.0,0.9325199828937442,1.0
brazil3,2,3785.08,3826.38,3302,3357,4574.0625,4596.874999999999,0.0,0.0,0.0,0.0,0.9892065085015079,1.0,0.9836163240988979,1.0,0.9950373895309316,1.0
cost266-UUE,0,4923.15,5113.69,375684,369616,18442.076416295735,18252.168797389666,0.0,0.0,0.0,0.0,0.9627392352684656,1.0,1.0164170382234536,1.0,1.0104046604551031,1.0
cost266-UUE,1,3728.83,4355.08,294630,351526,13227.091766782543,15675.552215567343,0.0,0.0,0.0,0.0,0.8562024118959928,1.0,0.83814568481421,1.0,0.84380387911609,1.0
cost266-UUE,2,4067.72,5036.66,306702,371569,15450.64854860508,19759.170928787607,0.0,0.0,0.0,0.0,0.8076225117438938,1.0,0.825424080049735,1.0,0.781948220615606,1.0
csched007,0,2327.77,2900.82,187288,240564,16205.184854415957,18981.176732193733,0.0,0.0,0.0,0.0,0.8024524100082046,1.0,0.7785371044711594,1.0,0.8537502749727075,1.0
csched007,1,2613.95,3154.88,220934,277315,16818.595935897436,21355.150501709402,0.0,0.0,0.0,0.0,0.8285418145856577,1.0,0.7966896850152354,1.0,0.7875662564190858,1.0
