ProblemName,Seed,T_useinf-b_usebound_b,T_useinf-b_usebound_b-no-update,N_useinf-b_usebound_b,N_useinf-b_usebound_b-no-update,DI_useinf-b_usebound_b,DI_useinf-b_usebound_b-no-update,Gap_useinf-b_usebound_b,Gap_useinf-b_usebound_b-no-update,GapQ_useinf-b_usebound_b,GapQ_useinf-b_usebound_b-no-update,TQ_useinf-b_usebound_b,TQ_useinf-b_usebound_b-no-update,NQ_useinf-b_usebound_b,NQ_useinf-b_usebound_b-no-update,DIQ_useinf-b_usebound_b,DIQ_useinf-b_usebound_b-no-update
30n20b8,0,149.68,149.78,171,171,8157.48127384106,8160.086189403974,0.0,0.0,0.0,0.0,0.9993323541193752,1.0,1.0,1.0,0.9996807735234101,1.0
30n20b8,1,623.6,773.41,1999,2674,24175.587104304643,29108.30016887417,0.0,0.0,0.0,0.0,0.8062993754929468,1.0,0.7475691847419597,1.0,0.8305392951167883,1.0
30n20b8,2,693.56,474.09,3499,3834,33380.86676655629,21667.268801324502,0.0,0.0,0.0,0.0,1.4629289797295872,1.0,0.912623891497131,1.0,1.5406125743229688,1.0
50v-10,0,7200.0,7200.0,829421,860023,11838.127931802672,11210.446224683117,1.69,1.36,1.2426470588235292,1.0,1.0,1.0,0.9644172307019696,1.0,1.0559907870337515,1.0
50v-10,1,7200.0,7200.0,867997,977162,10623.056822917131,11622.414097631816,1.15,1.38,0.8333333333333334,1.0,1.0,1.0,0.8882836213442602,1.0,0.9140146559639177,1.0
50v-10,2,7200.0,7200.0,833134,1024944,10830.810815538305,11514.273861607373,1.37,1.42,0.9647887323943664,1.0,1.0,1.0,0.812858068343246,1.0,0.9406421061124859,1.0
CMS750_4,0,185.73,173.21,2028,2061,236.69047619047618,221.79365079365078,0.0,0.0,0.0,0.0,1.0722822007967205,1.0,0.9839883551673945,1.0,1.0671652472625779,1.0
CMS750_4,1,370.72,532.83,3254,9672,353.7340238095247,438.03841666666625,0.0,0.0,0.0,0.0,0.695756620310418,1.0,0.33643507030603803,1.0,0.8075410976537827,1.0
CMS750_4,2,473.12,372.77,13518,9265,409.4761904761905,328.2460734126975,0.0,0.0,0.0,0.0,1.269200847707702,1.0,1.4590393955747436,1.0,1.2474671401822495,1.0
air05,0,40.07,40.26,648,648,100.02059907484637,105.25048494729656,0.0,0.0,0.0,0.0,0.9952806756085445,1.0,1.0,1.0,0.9503101018957869,1.0
