ProblemName,Seed,T_useinf-b_usebound_b,T_useinf-b_usebound_b-no-vbound,N_useinf-b_usebound_b,N_useinf-b_usebound_b-no-vbound,DI_useinf-b_usebound_b,DI_useinf-b_usebound_b-no-vbound,Gap_useinf-b_usebound_b,Gap_useinf-b_usebound_b-no-vbound,GapQ_useinf-b_usebound_b,GapQ_useinf-b_usebound_b-no-vbound,TQ_useinf-b_usebound_b,TQ_useinf-b_usebound_b-no-vbound,NQ_useinf-b_usebound_b,NQ_useinf-b_usebound_b-no-vbound,DIQ_useinf-b_usebound_b,DIQ_useinf-b_usebound_b-no-vbound
30n20b8,1,623.6,902.33,1999,2334,24175.587104304643,33322.74910430464,0.0,0.0,0.0,0.0,0.6910997085323551,1.0,0.8564695801199658,1.0,0.7254979782319831,1.0
30n20b8,2,693.56,1993.61,3499,6739,33380.86676655629,97168.94509172183,0.0,0.0,0.0,0.0,0.3478915133852659,1.0,0.5192165009645348,1.0,0.34353431268649354,1.0
beasleyC3,2,47.2,46.61,453,422,60.5070464190982,59.842403183023904,0.0,0.0,0.0,0.0,1.0126582278481013,1.0,1.0734597156398105,1.0,1.011106559909393,1.0
binkar10_1,0,31.34,33.57,2560,2517,16.530218892167426,16.77907817392903,0.0,0.0,0.0,0.0,0.9335716413464402,1.0,1.0170838299562972,1.0,0.9851684771247877,1.0
binkar10_1,1,29.22,35.96,2246,2777,11.699173704422169,12.580989815147332,0.0,0.0,0.0,0.0,0.8125695216907675,1.0,0.8087864602088585,1.0,0.9299088447187622,1.0
binkar10_1,2,28.71,34.91,2509,3245,16.276617190935752,17.855044700337306,0.0,0.0,0.0,0.0,0.822400458321398,1.0,0.7731895223420647,1.0,0.9115976724845872,1.0
cost266-UUE,0,4923.15,5308.1,375684,429467,18442.076416295735,20056.46494333276,0.0,0.0,0.0,0.0,0.9274787588779412,1.0,0.8747680264141366,1.0,0.9195078229589164,1.0
cost266-UUE,1,3728.83,4336.47,294630,321297,13227.091766782543,15741.913612535871,0.0,0.0,0.0,0.0,0.8598768122459051,1.0,0.9170020261627093,1.0,0.8402467509572228,1.0
cost266-UUE,2,4067.72,4817.89,306702,393239,15450.64854860508,18867.967426292227,0.0,0.0,0.0,0.0,0.8442949091822353,1.0,0.7799379003608492,1.0,0.8188825112701241,1.0
csched007,0,2327.77,2365.33,187288,188163,16205.184854415957,16579.41406638177,0.0,0.0,0.0,0.0,0.9841206089636542,1.0,0.9953497765235461,1.0,0.9774280797579787,1.0
csched007,1,2613.95,2836.56,220934,253975,16818.595935897436,19551.05651481481,0.0,0.0,0.0,0.0,0.9215211382801703,1.0,0.8699045181612364,1.0,0.8602397483303855,1.0
csched007,2,3393.08,2928.44,247755,236575,21171.48683076923,18704.05229401709,0.0,0.0,0.0,0.0,1.1586646815369275,1.0,1.0472577406742047,1.0,1.1319197839038018,1.0
csched008,0,7200.0,5642.08,455870,538941,8192.290320809263,4772.41699710982,2.81,0.0,inf,0.0,1.2761251169781358,1.0,0.8458625341178347,1.0,1.7165914725746978,1.0
csched008,1,7200.0,4488.44,694455,354389,6763.466872832382,4071.9508208092466,2.33,0.0,inf,0.0,1.6041208081204161,1.0,1.9595839599987583,1.0,1.6609893317641375,1.0
csched008,2,5772.95,3959.91,546382,446069,3644.5367774566475,2841.0157687861247,0.0,0.0,0.0,0.0,1.4578487894926906,1.0,1.2248822491587625,1.0,1.2828287746582419,1.0
fastxgemm-n2r6s0t2,0,4702.82,3502.66,1118937,824448,326247.55928434775,235639.35132391306,0.0,0.0,0.0,0.0,1.342642448881707,1.0,1.3571953598043782,1.0,1.3845206984799556,1.0
fastxgemm-n2r6s0t2,1,4017.11,4248.99,1012967,1034836,236190.0877195652,347287.0197617392,0.0,0.0,0.0,0.0,0.9454270308944008,1.0,0.9788671828193066,1.0,0.680100534369544,1.0
fastxgemm-n2r6s0t2,2,3129.08,3917.93,769500,929719,211406.1993217391,284315.9979826086,0.0,0.0,0.0,0.0,0.798656433371704,1.0,0.8276694356036609,1.0,0.7435606888876884,1.0
fiball,0,465.55,303.3,4111,1648,249.44762318840577,248.84057971014488,0.0,0.0,0.0,0.0,1.5349488954830202,1.0,2.4945388349514563,1.0,1.0024394874781597,1.0
gen-ip002,0,1315.68,1311.44,5856334,5832063,508.2774467047354,504.04258743852085,0.0,0.0,0.0,0.0,1.003233087293357,1.0,1.0041616491454224,1.0,1.0084017886022996,1.0
gen-ip002,1,1295.56,1222.63,5478569,5492464,494.6164580802605,469.42433120151384,0.0,0.0,0.0,0.0,1.0596500985580264,1.0,0.9974701700366174,1.0,1.0536660015348294,1.0
gen-ip002,2,1271.92,1418.15,5583912,5917739,491.4221079150391,553.6815385586411,0.0,0.0,0.0,0.0,0.8968867891266791,1.0,0.9435887591527777,1.0,0.8875537176014979,1.0
gen-ip054,0,3047.64,2293.06,15245360,11460069,1519.5676472901296,1158.9742686126233,0.0,0.0,0.0,0.0,1.3290711974392297,1.0,1.330302636048701,1.0,1.3111314793115838,1.0
gen-ip054,1,2530.93,2676.8,12476019,13353033,1305.3634888918657,1379.5172631327182,0.0,0.0,0.0,0.0,0.945505827854154,1.0,0.9343209890966344,1.0,0.9462465775365085,1.0
gen-ip054,2,3381.24,3264.4,16438070,16306455,1711.353184130085,1605.8324535091556,0.0,0.0,0.0,0.0,1.0357921823305967,1.0,1.0080713435262294,1.0,1.0657109217031575,1.0
glass4,0,4008.75,1436.38,2705421,1198005,115238.12619050834,42938.35090714881,0.0,0.0,0.0,0.0,2.790870104011473,1.0,2.2582718769955052,1.0,2.683804192659908,1.0
glass4,1,2392.84,2209.95,1888717,1777925,65192.70388069259,61597.58549701895,0.0,0.0,0.0,0.0,1.0827575284508701,1.0,1.0623153395109468,1.0,1.058364599109938,1.0
glass4,2,2212.84,3657.58,1599046,3399800,59809.337062710845,92358.45714436665,0.0,0.0,0.0,0.0,0.6050011209597603,1.0,0.47033531384199073,1.0,0.6475783475813387,1.0
graphdraw-domain,0,1010.47,1027.09,1823083,1921032,16022.469596159708,16687.009864370615,0.0,0.0,0.0,0.0,0.9838183606110469,1.0,0.9490123017211582,1.0,0.9601761925226757,1.0
graphdraw-domain,1,1122.85,1275.78,1941578,2267753,17974.215538961696,20214.02844813573,0.0,0.0,0.0,0.0,0.8801282352756744,1.0,0.8561681982120628,1.0,0.8891951243206743,1.0
graphdraw-domain,2,1664.67,1309.75,2907888,2462138,23908.33903586305,19550.386589454436,0.0,0.0,0.0,0.0,1.2709830120251957,1.0,1.181041842496237,1.0,1.2229087607280007,1.0
icir97_tension,1,7200.0,6818.43,2776552,3051060,962.1043945098027,886.5195306666651,0.05,0.0,inf,0.0,1.0559615629991068,1.0,0.9100286457821216,1.0,1.0852602353681904,1.0
istanbul-no-cutoff,1,166.34,167.55,245,290,4386.7845191557135,4386.417044760832,0.0,0.0,0.0,0.0,0.9927782751417487,1.0,0.8448275862068966,1.0,1.000083775525932,1.0
istanbul-no-cutoff,2,285.14,297.83,475,502,6591.160704164574,6804.900231017675,0.0,0.0,0.0,0.0,0.9573918006916697,1.0,0.9462151394422311,1.0,0.9685903511297863,1.0
map10,0,1006.71,1016.84,1637,1752,11390.739125871321,11442.418450963682,0.0,0.0,0.0,0.0,0.9900377640533418,1.0,0.9343607305936074,1.0,0.995483531273233,1.0
map10,2,792.96,804.26,965,979,9060.827479977572,9200.656677573934,0.0,0.0,0.0,0.0,0.985949817223286,1.0,0.9856996935648621,1.0,0.9848022589586255,1.0
map16715-04,0,2158.43,2163.19,1933,1963,105052.04735655236,105267.26703756899,0.0,0.0,0.0,0.0,0.9977995460408008,1.0,0.9847172694854814,1.0,0.9979554928414753,1.0
map16715-04,1,2335.51,2367.79,2173,2208,114012.38505556673,114022.89191044707,0.0,0.0,0.0,0.0,0.9863670342386783,1.0,0.9841485507246377,1.0,0.9999078531099825,1.0
map16715-04,2,2160.04,2108.62,1990,2038,105132.8366379955,103623.97752919799,0.0,0.0,0.0,0.0,1.0243856171334806,1.0,0.9764474975466143,1.0,1.0145609070870916,1.0
mas74,1,2282.09,2315.16,7992914,7992953,7947.64328439701,8044.766478899197,0.0,0.0,0.0,0.0,0.9857158900464764,1.0,0.9999951207019483,1.0,0.9879271580154708,1.0
mas74,2,1563.59,1600.1,4674399,4642890,6164.667939272116,6294.359640600582,0.0,0.0,0.0,0.0,0.9771826760827448,1.0,1.0067865058185743,1.0,0.9793955686148097,1.0
mas76,1,168.46,174.18,525538,542396,213.0820547741501,216.92787141317916,0.0,0.0,0.0,0.0,0.9671604087725342,1.0,0.9689193873111158,1.0,0.9822714498880414,1.0
mas76,2,152.65,147.94,450422,449431,190.81097626460183,186.2928248996472,0.0,0.0,0.0,0.0,1.0318372313099906,1.0,1.0022050103352906,1.0,1.0242529542798466,1.0
mc11,0,149.4,132.52,6484,5754,235.9292069467016,220.40983317649068,0.0,0.0,0.0,0.0,1.1273769996981586,1.0,1.126868265554397,1.0,1.0704114401183906,1.0
mc11,1,80.39,91.51,1411,2220,170.2462143895971,179.49575840533834,0.0,0.0,0.0,0.0,0.8784832258769533,1.0,0.6355855855855855,1.0,0.9484692892026236,1.0
mc11,2,106.11,95.1,3386,2350,194.48838138420732,183.22396013345883,0.0,0.0,0.0,0.0,1.1157728706624606,1.0,1.4408510638297873,1.0,1.0614789749252422,1.0
mushroom-best,0,579.5,655.7,27393,32432,20569.405130947434,22441.027304247305,0.0,0.0,0.0,0.0,0.883788317828275,1.0,0.8446287617168229,1.0,0.9165981954424325,1.0
mzzv11,1,263.08,295.69,987,1237,2648.939704582618,2612.154028989147,0.0,0.0,0.0,0.0,0.8897155805066116,1.0,0.7978981406628941,1.0,1.0140825063090582,1.0
mzzv42z,0,175.26,170.41,415,366,1846.7208429817506,1847.5894500726952,0.0,0.0,0.0,0.0,1.0284607710815092,1.0,1.133879781420765,1.0,0.9995298700742687,1.0
neos-1582420,2,55.49,56.6,1381,1485,123.04363571428577,117.02450000000002,0.0,0.0,0.0,0.0,0.9803886925795053,1.0,0.92996632996633,1.0,1.051434833853473,1.0
neos-3024952-loue,0,4646.86,7200.0,383076,539688,6688.458145836447,7349.030925773645,0.0,0.16,0.0,1.0,0.6453972222222222,1.0,0.7098101125094499,1.0,0.9101143012447375,1.0
neos-3083819-nubu,2,20.79,13.15,3812,1783,11.640217907557332,11.11328225319103,0.0,0.0,0.0,0.0,1.5809885931558934,1.0,2.137969713965227,1.0,1.0474149438807783,1.0
neos-4722843-widden,0,2651.33,4370.53,11357,21244,41135.66894980005,53787.11891637542,0.0,0.0,0.0,0.0,0.6066380965237625,1.0,0.534598004142346,1.0,0.7647866213796469,1.0
neos-4722843-widden,1,1033.65,884.93,3376,3347,36234.84384829133,30779.42830802674,0.0,0.0,0.0,0.0,1.1680584905020739,1.0,1.0086644756498357,1.0,1.1772422634257282,1.0
neos-4722843-widden,2,1714.52,2413.56,7919,11399,24889.37680760002,26413.405183123592,0.0,0.0,0.0,0.0,0.7103697442781617,1.0,0.6947100622861655,1.0,0.9423009504091762,1.0
neos-4738912-atrato,0,813.4,950.47,61981,90901,272.5186309742815,280.2577709166805,0.0,0.0,0.0,0.0,0.85578713689017,1.0,0.6818516847999472,1.0,0.9723856365620641,1.0
neos-4738912-atrato,1,3808.9,3625.9,324992,323637,1115.218225547576,958.5695361098731,0.0,0.0,0.0,0.0,1.0504702280813039,1.0,1.0041867895203578,1.0,1.1634192236834735,1.0
