ProblemName,Seed,T_useinf-b_usebound_b,T_useinf-b_usebound_b-no-vbound,N_useinf-b_usebound_b,N_useinf-b_usebound_b-no-vbound,DI_useinf-b_usebound_b,DI_useinf-b_usebound_b-no-vbound,Gap_useinf-b_usebound_b,Gap_useinf-b_usebound_b-no-vbound,GapQ_useinf-b_usebound_b,GapQ_useinf-b_usebound_b-no-vbound,TQ_useinf-b_usebound_b,TQ_useinf-b_usebound_b-no-vbound,NQ_useinf-b_usebound_b,NQ_useinf-b_usebound_b-no-vbound,DIQ_useinf-b_usebound_b,DIQ_useinf-b_usebound_b-no-vbound
30n20b8,0,149.68,149.46,171,171,8157.48127384106,8141.093287748344,0.0,0.0,0.0,0.0,1.0014719657433426,1.0,1.0,1.0,1.0020129957382233,1.0
30n20b8,1,623.6,902.33,1999,2334,24175.587104304643,33322.74910430464,0.0,0.0,0.0,0.0,0.6910997085323551,1.0,0.8564695801199658,1.0,0.7254979782319831,1.0
30n20b8,2,693.56,1993.61,3499,6739,33380.86676655629,97168.94509172183,0.0,0.0,0.0,0.0,0.3478915133852659,1.0,0.5192165009645348,1.0,0.34353431268649354,1.0
50v-10,0,7200.0,7200.0,829421,842135,11838.127931802672,11827.847569465537,1.69,1.46,1.1575342465753424,1.0,1.0,1.0,0.984902658124885,1.0,1.0008691659472915,1.0
50v-10,1,7200.0,7200.0,867997,954981,10623.056822917131,11042.772044280347,1.15,1.31,0.8778625954198472,1.0,1.0,1.0,0.9089154653338652,1.0,0.9619918604060463,1.0
50v-10,2,7200.0,7200.0,833134,921415,10830.810815538305,10765.914551059794,1.37,1.27,1.078740157480315,1.0,1.0,1.0,0.9041897516320008,1.0,1.0060279379118908,1.0
CMS750_4,0,185.73,185.43,2028,2028,236.69047619047618,231.4920634920635,0.0,0.0,0.0,0.0,1.00161786118751,1.0,1.0,1.0,1.0224561162918266,1.0
CMS750_4,1,370.72,369.97,3254,3254,353.7340238095247,353.0031507936516,0.0,0.0,0.0,0.0,1.0020271913938967,1.0,1.0,1.0,1.0020704433210577,1.0
CMS750_4,2,473.12,477.67,13518,13518,409.4761904761905,412.5813492063492,0.0,0.0,0.0,0.0,0.9904745954319928,1.0,1.0,1.0,0.9924738267104611,1.0
air05,0,40.07,40.09,648,648,100.02059907484637,100.07253772654883,0.0,0.0,0.0,0.0,0.9995011224744325,1.0,1.0,1.0,0.9994809899610583,1.0
air05,1,36.54,36.49,716,716,94.20627056950015,94.13692765602475,0.0,0.0,0.0,0.0,1.0013702384214853,1.0,1.0,1.0,1.000736617554896,1.0
air05,2,30.22,30.44,282,282,87.80452756502615,88.11585159626905,0.0,0.0,0.0,0.0,0.9927726675427069,1.0,1.0,1.0,0.9964668782562605,1.0
app1-1,0,3.53,3.52,2,2,210.18724100076997,213.74720595640616,0.0,0.0,0.0,0.0,1.002840909090909,1.0,1.0,1.0,0.9833449754830375,1.0
app1-1,1,4.94,4.86,3,3,323.57328085036335,320.616643422563,0.0,0.0,0.0,0.0,1.0164609053497942,1.0,1.0,1.0,1.0092217216057109,1.0
app1-1,2,4.17,4.2,6,6,221.01774098094754,222.51828695960356,0.0,0.0,0.0,0.0,0.9928571428571428,1.0,1.0,1.0,0.9932565273660927,1.0
app1-2,0,642.8,643.76,33,33,36383.844121706585,36434.21469405871,0.0,0.0,0.0,0.0,0.9985087610289548,1.0,1.0,1.0,0.9986174925746282,1.0
app1-2,1,789.47,792.56,20,20,44698.36789757741,44971.95692477178,0.0,0.0,0.0,0.0,0.9961012415463815,1.0,1.0,1.0,0.9939164526984666,1.0
app1-2,2,618.36,620.83,20,20,37335.62179865141,37487.711349125486,0.0,0.0,0.0,0.0,0.9960214551487524,1.0,1.0,1.0,0.9959429491691916,1.0
assign1-5-8,0,7200.0,7200.0,5736357,5732154,35826.85425376717,35825.37655754075,4.74,4.74,1.0,1.0,1.0,1.0,1.0007332322195113,1.0,1.0000412471931466,1.0
assign1-5-8,1,7200.0,7200.0,6813236,6747183,34469.75157546527,34496.13669055961,4.54,4.55,0.9978021978021978,1.0,1.0,1.0,1.0097897152041082,1.0,0.9992351284049278,1.0
assign1-5-8,2,7200.0,7200.0,6333262,6372276,36127.38158961623,36092.85683159735,4.8,4.79,1.0020876826722338,1.0,1.0,1.0,0.9938775407719314,1.0,1.0009565537629774,1.0
atlanta-ip,0,7200.0,7200.0,18533,18035,43337.69348871529,44368.81372106235,3.6,7.06,0.509915014164306,1.0,1.0,1.0,1.027612974771278,1.0,0.9767602478887647,1.0
atlanta-ip,1,7200.0,7200.0,21153,16022,33224.348694249595,34249.295116819674,3.81,3.33,1.1441441441441442,1.0,1.0,1.0,1.3202471601547872,1.0,0.9700739411110761,1.0
atlanta-ip,2,7200.0,7200.0,30903,25264,36484.18328740221,36316.79561027166,4.27,6.53,0.6539050535987748,1.0,1.0,1.0,1.2232029765674477,1.0,1.0046090981959652,1.0
b1c1s1,0,7200.0,7200.0,35962,49593,101772.57959298001,101620.25844851647,17.13,16.96,1.0100235849056602,1.0,1.0,1.0,0.7251426612626782,1.0,1.001498924985914,1.0
b1c1s1,1,7200.0,7200.0,21112,18924,99105.70956843253,97224.08544424866,18.36,15.64,1.1739130434782608,1.0,1.0,1.0,1.1156203762418093,1.0,1.0193534772334047,1.0
b1c1s1,2,7200.0,7200.0,18673,18530,104172.80512217728,104738.19171985293,17.69,17.51,1.0102798400913764,1.0,1.0,1.0,1.0077172153264975,1.0,0.9946019060631874,1.0
bab2,0,7200.0,7200.0,3473,3468,54272.20839437869,54682.61616515108,1.29,1.29,1.0,1.0,1.0,1.0,1.001441753171857,1.0,0.9924947305093655,1.0
bab2,1,7200.0,7200.0,3262,3325,49060.940255721325,48880.06195292867,2.44,1.1,2.218181818181818,1.0,1.0,1.0,0.9810526315789474,1.0,1.0037004515863102,1.0
bab2,2,7200.0,7200.0,1981,1934,51336.0834263738,51648.99155493976,1e+20,1e+20,1.0,1.0,1.0,1.0,1.0243019648397105,1.0,0.9939416410825153,1.0
bab6,0,7200.0,7200.0,4790,4900,15216.593062791633,15163.253267708984,0.58,0.58,1.0,1.0,1.0,1.0,0.9775510204081632,1.0,1.0035177012571728,1.0
bab6,1,7200.0,7200.0,3258,3265,22203.67304528304,21993.859078086945,1.14,0.83,1.3734939759036144,1.0,1.0,1.0,0.9978560490045941,1.0,1.0095396613414305,1.0
bab6,2,7200.0,7200.0,4779,4770,20738.843556386426,20742.235888937994,1.94,1.94,1.0,1.0,1.0,1.0,1.0018867924528303,1.0,0.9998364528988228,1.0
beasleyC3,0,31.56,31.53,83,83,57.36058461538471,57.121674270557115,0.0,0.0,0.0,0.0,1.000951474785918,1.0,1.0,1.0,1.0041824814814775,1.0
beasleyC3,1,17.35,17.31,2,2,52.69888328912467,52.55844827586207,0.0,0.0,0.0,0.0,1.002310803004044,1.0,1.0,1.0,1.0026719779192397,1.0
beasleyC3,2,47.2,46.61,453,422,60.5070464190982,59.842403183023904,0.0,0.0,0.0,0.0,1.0126582278481013,1.0,1.0734597156398105,1.0,1.011106559909393,1.0
binkar10_1,0,31.34,33.57,2560,2517,16.530218892167426,16.77907817392903,0.0,0.0,0.0,0.0,0.9335716413464402,1.0,1.0170838299562972,1.0,0.9851684771247877,1.0
binkar10_1,1,29.22,35.96,2246,2777,11.699173704422169,12.580989815147332,0.0,0.0,0.0,0.0,0.8125695216907675,1.0,0.8087864602088585,1.0,0.9299088447187622,1.0
binkar10_1,2,28.71,34.91,2509,3245,16.276617190935752,17.855044700337306,0.0,0.0,0.0,0.0,0.822400458321398,1.0,0.7731895223420647,1.0,0.9115976724845872,1.0
blp-ar98,0,7200.0,7200.0,238231,237012,5967.561744100082,5874.1130056158945,0.27,0.27,1.0,1.0,1.0,1.0,1.0051431995004472,1.0,1.0159085700930246,1.0
blp-ar98,1,7200.0,7200.0,207500,207612,6377.591394602854,6346.910313512894,0.33,0.33,1.0,1.0,1.0,1.0,0.9994605321465041,1.0,1.0048340183765694,1.0
blp-ar98,2,7200.0,7200.0,229423,227469,6415.845105888979,6365.6226917977965,0.32,0.32,1.0,1.0,1.0,1.0,1.00859018151924,1.0,1.0078896309949212,1.0
blp-ic98,0,7200.0,7200.0,304769,306270,7237.063331242014,7226.293920245692,1.38,1.38,1.0,1.0,1.0,1.0,0.9950990955692689,1.0,1.0014903090180363,1.0
blp-ic98,1,7200.0,7200.0,254061,253836,7539.775927701681,7540.805024334238,2.41,2.41,1.0,1.0,1.0,1.0,1.0008863990923274,1.0,0.9998635296060254,1.0
blp-ic98,2,7200.0,7200.0,278188,277183,7134.770132576666,7138.893420147954,2.11,2.11,1.0,1.0,1.0,1.0,1.0036257634847736,1.0,0.9994224192282166,1.0
bnatt400,0,970.91,971.53,6821,6821,97091.0,97153.0,0.0,0.0,0.0,0.0,0.9993618313381986,1.0,1.0,1.0,0.9993618313381986,1.0
bnatt400,1,1105.02,1098.53,6346,6346,110502.0,109852.99999999999,0.0,0.0,0.0,0.0,1.005907895096174,1.0,1.0,1.0,1.0059078950961742,1.0
bnatt400,2,745.15,744.01,5500,5500,74515.0,74401.0,0.0,0.0,0.0,0.0,1.0015322374699265,1.0,1.0,1.0,1.0015322374699265,1.0
bnatt500,0,4368.17,4375.67,29526,29526,436817.0,437567.0,0.0,0.0,0.0,0.0,0.998285976776128,1.0,1.0,1.0,0.998285976776128,1.0
bnatt500,1,6333.06,6333.53,38962,38962,633306.0,633353.0,0.0,0.0,0.0,0.0,0.9999257917780449,1.0,1.0,1.0,0.9999257917780447,1.0
bnatt500,2,4996.9,4953.66,29029,29029,499689.99999999994,495366.0,0.0,0.0,0.0,0.0,1.0087288994400099,1.0,1.0,1.0,1.0087288994400099,1.0
bppc4-08,0,7200.0,7200.0,797503,796242,13614.33962264151,13614.33962264151,1.92,1.92,1.0,1.0,1.0,1.0,1.0015836893808667,1.0,1.0,1.0
bppc4-08,1,7200.0,7200.0,938927,931523,13609.433962264151,13609.433962264151,1.92,1.92,1.0,1.0,1.0,1.0,1.0079482739556618,1.0,1.0,1.0
bppc4-08,2,7200.0,7200.0,793397,795486,13609.452830188678,13609.433962264151,1.92,1.92,1.0,1.0,1.0,1.0,0.997373932413644,1.0,1.0000013863856925,1.0
brazil3,0,3360.46,3372.83,2570,2570,19964.97339208332,20027.715133124988,0.0,0.0,0.0,0.0,0.996332456720321,1.0,1.0,1.0,0.9968672541713011,1.0
brazil3,1,4252.19,4262.59,2347,2347,100252.26529645834,100484.94349291666,0.0,0.0,0.0,0.0,0.9975601688175497,1.0,1.0,1.0,0.9976844471582479,1.0
brazil3,2,3785.08,3798.56,3302,3302,4574.0625,4585.364583333333,0.0,0.0,0.0,0.0,0.9964512868034202,1.0,1.0,1.0,0.9975351832710504,1.0
buildingenergy,0,7200.0,7200.0,96,96,18993.32567985296,18894.069511677728,0.13,0.13,1.0,1.0,1.0,1.0,1.0,1.0,1.0052532975023662,1.0
buildingenergy,1,7200.0,7200.0,85,85,18244.78742705254,18244.43540301515,0.15,0.15,1.0,1.0,1.0,1.0,1.0,1.0,1.000019294871538,1.0
buildingenergy,2,7200.0,7200.0,12,11,19044.35943501013,18993.5159511185,0.13,0.13,1.0,1.0,1.0,1.0,1.0909090909090908,1.0,1.002676886365983,1.0
cbs-cta,0,40.27,40.16,1,1,15.0,15.0,0.0,0.0,0.0,0.0,1.0027390438247012,1.0,1.0,1.0,1.0,1.0
cbs-cta,1,314.1,312.39,31,31,15.0,15.0,0.0,0.0,0.0,0.0,1.0054739268222415,1.0,1.0,1.0,1.0,1.0
cbs-cta,2,35.77,35.54,1,1,15.0,15.0,0.0,0.0,0.0,0.0,1.0064715813168261,1.0,1.0,1.0,1.0,1.0
chromaticindex1024-7,0,7200.0,7200.0,964,965,187931.0,188025.25,33.33,33.33,1.0,1.0,1.0,1.0,0.9989637305699481,1.0,0.9994987375365808,1.0
chromaticindex1024-7,1,7200.0,7200.0,1171,1171,190411.75,190035.0,33.33,33.33,1.0,1.0,1.0,1.0,1.0,1.0,1.0019825295340332,1.0
chromaticindex1024-7,2,6429.72,6422.81,757,757,170155.5,169945.25,0.0,0.0,0.0,0.0,1.001075853092338,1.0,1.0,1.0,1.0012371631451895,1.0
chromaticindex512-7,0,1172.37,1186.43,361,361,31401.75,31802.000000000004,0.0,0.0,0.0,0.0,0.9881493219153257,1.0,1.0,1.0,0.9874143135651845,1.0
chromaticindex512-7,1,3689.97,3697.86,3133,3133,94038.0,94254.00000000001,0.0,0.0,0.0,0.0,0.9978663335009977,1.0,1.0,1.0,0.9977083200712965,1.0
chromaticindex512-7,2,7200.0,7200.0,40579,40637,183742.5,183743.25,33.33,33.33,1.0,1.0,1.0,1.0,0.9985727292861185,1.0,0.9999959182174039,1.0
cmflsp50-24-8-8,0,7200.0,7200.0,36090,39309,11790.122833283533,11787.869395842168,3.98,3.97,1.0025188916876573,1.0,1.0,1.0,0.9181103564069297,1.0,1.0001911657964382,1.0
cmflsp50-24-8-8,1,7200.0,7200.0,85475,63823,8745.651180930463,8641.196339214004,1.99,1.41,1.4113475177304966,1.0,1.0,1.0,1.3392507403287217,1.0,1.0120880069860743,1.0
cmflsp50-24-8-8,2,7200.0,7200.0,37790,39253,10278.781070052586,10259.57734507568,4.86,2.87,1.6933797909407666,1.0,1.0,1.0,0.9627289633913332,1.0,1.001871785194555,1.0
